ci,name,is_pnl,is_ntrd,mc_pval,mc_p95,bootstrap_p5,passed_mc
2544,atr20_m0p5_r2_n6_E1_X3b_1,9730.6,1014,0.0,692.0,15.19,1
2548,atr20_m0p5_r2_n6_E1_X3c_1_5,9730.6,1014,0.0,692.0,15.19,1
2550,atr20_m0p5_r2_n6_E1_X3c_1_3,9730.6,1014,0.0,692.0,15.19,1
1536,atr14_m1p0_r2_n3_E1_X3b_1,10060.7,10938,0.0,1227.6,14.49,1
1540,atr14_m1p0_r2_n3_E1_X3c_1_5,10058.8,10941,0.0,1271.8,14.48,1
1542,atr14_m1p0_r2_n3_E1_X3c_1_3,10044.1,10946,0.0,1186.9,14.41,1
2453,atr20_m0p5_r1_n5_E1_X3c_2_5,9260.1,2846,0.0,714.6,14.12,1
1270,atr14_m0p5_r1_n6_E1_X3c_1_3,9064.2,899,0.0,626.2,14.11,1
1268,atr14_m0p5_r1_n6_E1_X3c_1_5,9059.0,899,0.0,626.2,14.1,1
1264,atr14_m0p5_r1_n6_E1_X3b_1,9059.0,899,0.0,626.2,14.1,1
2519,atr20_m0p5_r2_n4_E1_X3c_2_3,9380.9,7659,0.0,892.0,14.05,1
2455,atr20_m0p5_r1_n5_E1_X3c_2_3,9178.5,2849,0.0,726.2,14.0,1
2449,atr20_m0p5_r1_n5_E1_X3b_2,9123.5,2845,0.0,686.8,13.89,1
2517,atr20_m0p5_r2_n4_E1_X3c_2_5,9290.2,7648,0.0,864.6,13.77,1
2533,atr20_m0p5_r2_n5_E1_X3c_2_5,8727.3,2627,0.0,670.6,13.34,1
2535,atr20_m0p5_r2_n5_E1_X3c_2_3,8747.1,2629,0.0,632.9,13.32,1
2513,atr20_m0p5_r2_n4_E1_X3b_2,8990.3,7636,0.0,894.5,13.28,1
1344,atr14_m0p5_r2_n6_E1_X3b_1,8585.5,883,0.0,617.5,13.28,1
1350,atr14_m0p5_r2_n6_E1_X3c_1_3,8585.5,883,0.0,617.5,13.28,1
1348,atr14_m0p5_r2_n6_E1_X3c_1_5,8585.5,883,0.0,617.5,13.28,1
2529,atr20_m0p5_r2_n5_E1_X3b_2,8592.4,2625,0.0,631.8,13.1,1
2439,atr20_m0p5_r1_n4_E1_X3c_2_3,8641.5,9275,0.0,973.2,12.6,1
2437,atr20_m0p5_r1_n4_E1_X3c_2_5,8620.6,9255,0.0,947.6,12.54,1
1255,atr14_m0p5_r1_n5_E1_X3c_2_3,8226.5,2544,0.0,688.4,12.45,1
1253,atr14_m0p5_r1_n5_E1_X3c_2_5,8215.7,2543,0.0,616.7,12.44,1
262,atr7_m1p0_r1_n3_E1_X3c_1_3,8367.9,5929,0.0,826.2,12.42,1
260,atr7_m1p0_r1_n3_E1_X3c_1_5,8377.9,5920,0.0,836.3,12.38,1
1333,atr14_m0p5_r2_n5_E1_X3c_2_5,8118.2,2398,0.0,624.4,12.31,1
1319,atr14_m0p5_r2_n4_E1_X3c_2_3,8335.9,7286,0.0,866.2,12.3,1
1249,atr14_m0p5_r1_n5_E1_X3b_2,8112.8,2542,0.0,648.5,12.29,1
1335,atr14_m0p5_r2_n5_E1_X3c_2_3,8037.3,2402,0.0,630.1,12.25,1
1329,atr14_m0p5_r2_n5_E1_X3b_2,8008.4,2398,0.0,616.6,12.15,1
1317,atr14_m0p5_r2_n4_E1_X3c_2_5,8238.8,7274,0.0,866.8,12.13,1
70,atr7_m0p5_r1_n6_E1_X3c_1_3,7706.7,775,0.0,651.6,11.93,1
64,atr7_m0p5_r1_n6_E1_X3b_1,7704.9,775,0.0,650.0,11.92,1
68,atr7_m0p5_r1_n6_E1_X3c_1_5,7701.5,775,0.0,652.2,11.91,1
2433,atr20_m0p5_r1_n4_E1_X3b_2,8228.7,9228,0.0,1000.6,11.78,1
1313,atr14_m0p5_r2_n4_E1_X3b_2,8095.2,7267,0.0,913.1,11.76,1
256,atr7_m1p0_r1_n3_E1_X3b_1,8049.1,5900,0.0,980.3,11.69,1
148,atr7_m0p5_r2_n6_E1_X3c_1_5,7378.1,761,0.0,571.9,11.37,1
144,atr7_m0p5_r2_n6_E1_X3b_1,7378.1,761,0.0,571.9,11.37,1
150,atr7_m0p5_r2_n6_E1_X3c_1_3,7374.3,761,0.0,574.8,11.36,1
2609,atr20_m0p5_r3_n5_E1_X3b_2,7708.5,6188,0.0,849.3,11.24,1
2613,atr20_m0p5_r3_n5_E1_X3c_2_5,7680.6,6188,0.0,832.6,11.21,1
2758,atr20_m1p0_r2_n4_E1_X3c_1_3,7627.5,3721,0.0,764.9,11.2,1
2756,atr20_m1p0_r2_n4_E1_X3c_1_5,7626.8,3721,0.0,770.4,11.19,1
2752,atr20_m1p0_r2_n4_E1_X3b_1,7615.7,3721,0.0,769.9,11.18,1
2615,atr20_m0p5_r3_n5_E1_X3c_2_3,7623.1,6189,0.0,834.5,11.14,1
336,atr7_m1p0_r2_n3_E1_X3b_1,7847.5,10468,0.0,1414.0,10.77,1
340,atr7_m1p0_r2_n3_E1_X3c_1_5,7773.8,10474,0.0,1250.6,10.62,1
1409,atr14_m0p5_r3_n5_E1_X3b_2,7310.5,6204,0.0,815.6,10.61,1
1413,atr14_m0p5_r3_n5_E1_X3c_2_5,7295.6,6204,0.0,805.9,10.6,1
1415,atr14_m0p5_r3_n5_E1_X3c_2_3,7300.3,6204,0.0,814.4,10.6,1
342,atr7_m1p0_r2_n3_E1_X3c_1_3,7765.9,10475,0.0,1268.1,10.55,1
1552,atr14_m1p0_r2_n4_E1_X3b_1,7194.7,3834,0.0,809.3,10.51,1
1556,atr14_m1p0_r2_n4_E1_X3c_1_5,7192.4,3834,0.0,804.5,10.51,1
2471,atr20_m0p5_r1_n6_E1_X3c_2_3,6885.8,1063,0.0,621.7,10.51,1
2469,atr20_m0p5_r1_n6_E1_X3c_2_5,6875.2,1063,0.0,606.5,10.5,1
1558,atr14_m1p0_r2_n4_E1_X3c_1_3,7178.0,3834,0.0,825.2,10.49,1
2465,atr20_m0p5_r1_n6_E1_X3b_2,6849.6,1063,0.0,610.3,10.47,1
2631,atr20_m0p5_r3_n6_E1_X3c_2_3,6910.6,3132,0.0,714.2,10.28,1
2625,atr20_m0p5_r3_n6_E1_X3b_2,6939.1,3131,0.0,680.4,10.25,1
2629,atr20_m0p5_r3_n6_E1_X3c_2_5,6939.1,3131,0.0,680.4,10.25,1
1239,atr14_m0p5_r1_n4_E1_X3c_2_3,7121.0,8683,0.0,895.6,10.23,1
53,atr7_m0p5_r1_n5_E1_X3c_2_5,6663.9,2102,0.0,598.8,10.06,1
55,atr7_m0p5_r1_n5_E1_X3c_2_3,6653.6,2103,0.0,603.9,10.06,1
2549,atr20_m0p5_r2_n6_E1_X3c_2_5,6526.8,1013,0.0,544.9,9.98,1
2551,atr20_m0p5_r2_n6_E1_X3c_2_3,6508.3,1013,0.0,552.5,9.96,1
133,atr7_m0p5_r2_n5_E1_X3c_2_5,6607.0,2055,0.0,546.9,9.94,1
2545,atr20_m0p5_r2_n6_E1_X3b_2,6495.7,1013,0.0,542.9,9.91,1
135,atr7_m0p5_r2_n5_E1_X3c_2_3,6549.5,2057,0.0,579.0,9.87,1
49,atr7_m0p5_r1_n5_E1_X3b_2,6532.8,2101,0.0,563.7,9.86,1
1237,atr14_m0p5_r1_n4_E1_X3c_2_5,6966.6,8672,0.0,944.7,9.82,1
129,atr7_m0p5_r2_n5_E1_X3b_2,6502.4,2054,0.0,547.9,9.82,1
1233,atr14_m0p5_r1_n4_E1_X3b_2,6811.5,8648,0.0,1017.9,9.55,1
2678,atr20_m1p0_r1_n4_E1_X3c_1_3,6205.2,913,0.0,546.2,9.39,1
2676,atr20_m1p0_r1_n4_E1_X3c_1_5,6153.1,913,0.0,531.3,9.33,1
2672,atr20_m1p0_r1_n4_E1_X3b_1,6107.9,913,0.0,516.5,9.26,1
1269,atr14_m0p5_r1_n6_E1_X3c_2_5,5972.3,899,0.0,506.3,9.06,1
1271,atr14_m0p5_r1_n6_E1_X3c_2_3,5962.0,899,0.0,502.7,9.05,1
1265,atr14_m0p5_r1_n6_E1_X3b_2,5943.6,899,0.0,508.1,9.02,1
1431,atr14_m0p5_r3_n6_E1_X3c_2_3,6117.6,3138,0.0,570.3,9.0,1
1429,atr14_m0p5_r3_n6_E1_X3c_2_5,6093.8,3138,0.0,577.0,8.95,1
1425,atr14_m0p5_r3_n6_E1_X3b_2,6082.0,3138,0.0,583.2,8.93,1
1349,atr14_m0p5_r2_n6_E1_X3c_2_5,5696.2,883,0.0,528.2,8.61,1
1351,atr14_m0p5_r2_n6_E1_X3c_2_3,5691.7,883,0.0,521.7,8.6,1
1345,atr14_m0p5_r2_n6_E1_X3b_2,5666.8,883,0.0,527.8,8.56,1
358,atr7_m1p0_r2_n4_E1_X3c_1_3,5652.4,3714,0.0,779.2,8.01,1
356,atr7_m1p0_r2_n4_E1_X3c_1_5,5613.2,3714,0.0,788.2,7.96,1
352,atr7_m1p0_r2_n4_E1_X3b_1,5593.3,3714,0.0,791.9,7.92,1
2902,atr20_m1p5_r1_n3_E1_X3c_1_3,5446.1,2060,0.0,689.1,7.86,1
1478,atr14_m1p0_r1_n4_E1_X3c_1_3,5187.3,810,0.0,503.7,7.77,1
1476,atr14_m1p0_r1_n4_E1_X3c_1_5,5094.1,810,0.0,509.1,7.6,1
2900,atr20_m1p5_r1_n3_E1_X3c_1_5,5288.2,2056,0.0,693.2,7.59,1
213,atr7_m0p5_r3_n5_E1_X3c_2_5,5380.5,6000,0.0,758.1,7.54,1
215,atr7_m0p5_r3_n5_E1_X3c_2_3,5393.7,6000,0.0,755.4,7.54,1
209,atr7_m0p5_r3_n5_E1_X3b_2,5364.9,6000,0.0,759.9,7.52,1
1472,atr14_m1p0_r1_n4_E1_X3b_1,5032.1,810,0.0,500.0,7.51,1
2896,atr20_m1p5_r1_n3_E1_X3b_1,5219.7,2048,0.0,757.5,7.31,1
231,atr7_m0p5_r3_n6_E1_X3c_2_3,4969.5,3115,0.0,621.5,7.17,1
229,atr7_m0p5_r3_n6_E1_X3c_2_5,4972.0,3115,0.0,621.6,7.16,1
225,atr7_m0p5_r3_n6_E1_X3b_2,4969.6,3115,0.0,621.9,7.16,1
2370,atr14_m3p0_r3_n5_E1_X3b_3,5898.4,232,0.0,2814.8,5.5,1
2322,atr14_m3p0_r3_n2_E1_X3b_3,6099.9,473,0.002,3321.2,4.37,1
2354,atr14_m3p0_r3_n4_E1_X3b_3,5012.4,303,0.0,2902.2,3.52,1
2325,atr14_m3p0_r3_n2_E1_X3c_2_5,4854.7,723,0.005,3197.7,3.11,1
2327,atr14_m3p0_r3_n2_E1_X3c_2_3,4918.4,722,0.002,3022.3,3.06,1
