ci,name,is_pnl,is_ntrd,mc_pval,mc_p95,bootstrap_p5,passed_mc
71,atr7_m0p5_r1_n6_E1_X3c_2_3,5662.8,838,0.0,631.8,8.43,1
2772,atr20_m1p0_r2_n5_E1_X3c_1_5,5855.4,1256,0.0,788.4,8.42,1
2774,atr20_m1p0_r2_n5_E1_X3c_1_3,5847.1,1256,0.0,787.4,8.39,1
2768,atr20_m1p0_r2_n5_E1_X3b_1,5843.2,1256,0.0,795.7,8.39,1
149,atr7_m0p5_r2_n6_E1_X3c_2_5,5625.3,797,0.0,634.0,8.39,1
145,atr7_m0p5_r2_n6_E1_X3b_2,5618.3,797,0.0,635.3,8.38,1
151,atr7_m0p5_r2_n6_E1_X3c_2_3,5617.3,797,0.0,634.7,8.38,1
69,atr7_m0p5_r1_n6_E1_X3c_2_5,5618.3,838,0.0,634.9,8.35,1
65,atr7_m0p5_r1_n6_E1_X3b_2,5575.9,838,0.0,626.0,8.26,1
2896,atr20_m1p5_r1_n3_E1_X3b_1,5984.4,1827,0.0,968.7,8.22,1
352,atr7_m1p0_r2_n4_E1_X3b_1,5851.3,3637,0.0,1036.0,7.79,1
356,atr7_m1p0_r2_n4_E1_X3c_1_5,5835.7,3638,0.0,1114.5,7.73,1
358,atr7_m1p0_r2_n4_E1_X3c_1_3,5764.6,3638,0.0,1116.3,7.65,1
3525,atr20_m3p0_r3_n2_E1_X3c_2_5,8291.2,846,0.001,4223.7,6.94,1
3527,atr20_m3p0_r3_n2_E1_X3c_2_3,8276.7,847,0.0,3848.9,6.87,1
3521,atr20_m3p0_r3_n2_E1_X3b_2,8363.8,844,0.0,4428.7,6.78,1
898,atr7_m2p0_r3_n3_E1_X3b_3,6665.9,809,0.003,3687.1,4.92,1
2338,atr14_m3p0_r3_n3_E1_X3b_3,6895.1,397,0.002,4183.4,4.51,1
2082,atr14_m2p0_r3_n2_E1_X3b_3,6854.6,1243,0.004,4186.6,4.3,1
3522,atr20_m3p0_r3_n2_E1_X3b_3,6797.5,526,0.003,4292.5,4.01,1
1122,atr7_m3p0_r3_n2_E1_X3b_3,6626.7,354,0.002,4563.0,3.29,1
882,atr7_m2p0_r3_n2_E1_X3b_3,5730.6,974,0.019,4305.7,3.03,1
2322,atr14_m3p0_r3_n2_E1_X3b_3,6009.1,469,0.006,4097.5,2.88,1
962,atr7_m3p0_r1_n2_E1_X3b_3,5509.5,1348,0.053,5616.1,-0.13,0
