pair,ltf,htf,strat,n_ltf,n_htf,trail,max_hold,sp_gate,nt_is,pd_is,nt_oos,tp_oos,pd_oos,tpd_oos,md_oos,calmar,score
EUR_USD,H1,H4,counter,10,10,2.5,96,1.7,199,0.1,159,146.1,0.3,0.37,220.4,0.0,0.0
EUR_USD,H1,H4,counter,20,10,1.0,24,1.7,28,0.1,24,14.1,0.0,0.06,56.6,0.0,0.0
EUR_USD,H1,H4,counter,20,10,1.0,48,1.7,28,0.1,24,14.1,0.0,0.06,56.6,0.0,0.0
EUR_USD,H1,H4,counter,20,10,1.0,96,1.7,28,0.1,24,14.1,0.0,0.06,56.6,0.0,0.0
EUR_USD,H1,H4,counter,20,10,2.0,24,1.7,28,0.1,24,64.1,0.2,0.06,81.3,0.0,0.0
EUR_USD,H1,H4,counter,20,10,2.0,48,1.7,28,0.1,24,64.1,0.2,0.06,81.3,0.0,0.0
EUR_USD,H1,H4,counter,20,10,2.0,96,1.7,28,0.1,24,64.1,0.2,0.06,81.3,0.0,0.0
EUR_USD,H1,H4,counter,20,10,2.5,24,1.7,28,0.1,23,62.5,0.1,0.05,97.7,0.0,0.0
EUR_USD,H1,H4,counter,20,10,2.5,48,1.7,28,0.1,23,62.5,0.1,0.05,97.7,0.0,0.0
EUR_USD,H1,H4,counter,20,10,2.5,96,1.7,28,0.1,23,62.5,0.1,0.05,97.7,0.0,0.0
EUR_USD,H1,H4,counter,20,20,1.5,24,1.7,90,0.0,78,130.5,0.3,0.18,95.5,0.0,0.0
EUR_USD,H1,H4,counter,20,20,1.5,48,1.7,90,0.0,78,130.5,0.3,0.18,95.5,0.0,0.0
EUR_USD,H1,H4,counter,20,20,1.5,96,1.7,90,0.0,78,130.5,0.3,0.18,95.5,0.0,0.0
AUD_JPY,M30,H4,counter,20,10,2.5,24,2.3,282,0.0,139,140.8,0.3,0.33,240.1,0.0,0.0
AUD_JPY,M30,H4,counter,20,10,2.5,48,2.3,282,0.0,139,140.8,0.3,0.33,240.1,0.0,0.0
AUD_JPY,M30,H4,counter,20,10,2.5,96,2.3,282,0.0,139,140.8,0.3,0.33,240.1,0.0,0.0
AUD_JPY,H1,H4,counter,10,10,1.5,24,2.3,162,0.0,79,173.0,0.4,0.18,137.5,0.0,0.0
AUD_JPY,H1,H4,counter,10,10,1.5,48,2.3,162,0.0,79,173.0,0.4,0.18,137.5,0.0,0.0
AUD_JPY,H1,H4,counter,10,10,1.5,96,2.3,162,0.0,79,173.0,0.4,0.18,137.5,0.0,0.0
AUD_JPY,H1,H4,counter,10,10,2.0,24,2.3,161,0.0,76,222.1,0.5,0.18,81.4,0.01,0.05
AUD_JPY,H1,H4,counter,10,10,2.0,48,2.3,161,0.0,76,222.1,0.5,0.18,81.4,0.01,0.05
AUD_JPY,H1,H4,counter,10,10,2.0,96,2.3,161,0.0,76,222.1,0.5,0.18,81.4,0.01,0.05
AUD_JPY,H1,H4,counter,10,10,2.5,24,2.3,161,0.1,74,258.1,0.6,0.17,88.9,0.01,0.06
AUD_JPY,H1,H4,counter,10,10,2.5,48,2.3,161,0.1,74,258.1,0.6,0.17,88.9,0.01,0.06
AUD_JPY,H1,H4,counter,10,10,2.5,96,2.3,161,0.1,74,258.1,0.6,0.17,88.9,0.01,0.06
CHF_JPY,H1,H4,counter,5,10,1.5,24,3.7,314,0.1,169,198.9,0.5,0.4,234.3,0.0,0.0
CHF_JPY,H1,H4,counter,5,10,1.5,48,3.7,314,0.1,169,198.9,0.5,0.4,234.3,0.0,0.0
CHF_JPY,H1,H4,counter,5,10,1.5,96,3.7,314,0.1,169,198.9,0.5,0.4,234.3,0.0,0.0
CHF_JPY,H1,H4,counter,5,10,2.0,24,3.7,311,0.2,166,246.0,0.6,0.39,292.8,0.0,0.0
CHF_JPY,H1,H4,counter,5,10,2.0,48,3.7,311,0.2,166,246.0,0.6,0.39,292.8,0.0,0.0
CHF_JPY,H1,H4,counter,5,10,2.0,96,3.7,311,0.2,166,246.0,0.6,0.39,292.8,0.0,0.0
CHF_JPY,H1,H4,counter,20,10,1.5,24,3.7,27,0.1,18,20.0,0.0,0.04,74.0,0.0,0.0
CHF_JPY,H1,H4,counter,20,10,1.5,48,3.7,27,0.1,18,20.0,0.0,0.04,74.0,0.0,0.0
CHF_JPY,H1,H4,counter,20,10,1.5,96,3.7,27,0.1,18,20.0,0.0,0.04,74.0,0.0,0.0
CHF_JPY,H1,H4,counter,20,10,2.0,24,3.7,27,0.2,17,5.8,0.0,0.04,73.9,0.0,0.0
CHF_JPY,H1,H4,counter,20,10,2.0,48,3.7,27,0.2,17,5.8,0.0,0.04,73.9,0.0,0.0
CHF_JPY,H1,H4,counter,20,10,2.0,96,3.7,27,0.2,17,5.8,0.0,0.04,73.9,0.0,0.0
AUD_USD,H1,H4,counter,20,20,2.0,24,1.6,112,0.1,109,87.2,0.2,0.26,125.8,0.0,0.0
AUD_USD,H1,H4,counter,20,20,2.0,48,1.6,112,0.1,109,87.2,0.2,0.26,125.8,0.0,0.0
