pair,activate,trail,init_sl,n,ppd,wr,mdd,calmar,mean_hold_h1,max_loss,max_win,trail_pct,init_sl_pct,days
USD_JPY,2.0,0.075,2.0,23,0.48,56.5,333.7,0.0,10.6,-147.2,143.1,56.5,43.5,429.5
USD_JPY,2.0,0.1,0.5,23,0.59,30.4,131.2,0.0,4.3,-38.4,142.1,30.4,69.6,429.5
USD_JPY,2.0,0.1,1.0,23,0.45,39.1,252.1,0.0,6.3,-74.8,142.1,39.1,60.9,429.5
USD_JPY,2.0,0.1,1.5,23,0.84,56.5,232.6,0.0,9.3,-111.3,142.1,56.5,43.5,429.5
USD_JPY,2.0,0.1,2.0,23,0.46,56.5,334.6,0.0,10.6,-147.2,142.1,56.5,43.5,429.5
USD_JPY,2.0,0.15,0.5,23,0.57,30.4,131.2,0.0,4.3,-38.4,140.0,30.4,69.6,429.5
USD_JPY,2.0,0.15,1.0,23,0.43,39.1,252.1,0.0,6.3,-74.8,140.0,39.1,60.9,429.5
USD_JPY,2.0,0.15,1.5,23,0.8,56.5,234.5,0.0,9.3,-111.3,140.0,56.5,43.5,429.5
USD_JPY,2.0,0.15,2.0,23,0.43,56.5,336.5,0.0,10.6,-147.2,140.0,56.5,43.5,429.5
USD_JPY,2.0,0.2,0.5,23,0.55,30.4,131.2,0.0,4.3,-38.4,138.0,30.4,69.6,429.5
USD_JPY,2.0,0.2,1.0,23,0.4,39.1,252.1,0.0,6.3,-74.8,138.0,39.1,60.9,429.5
USD_JPY,2.0,0.2,1.5,23,0.76,56.5,236.4,0.0,9.3,-111.3,138.0,56.5,43.5,429.5
USD_JPY,2.0,0.2,2.0,23,0.39,56.5,338.4,0.0,10.6,-147.2,138.0,56.5,43.5,429.5
EUR_JPY,1.0,0.05,0.5,9,0.15,33.3,82.4,0.0,1.9,-24.9,81.3,33.3,66.7,429.5
EUR_JPY,1.0,0.05,1.0,9,-0.08,33.3,150.2,-0.0,2.6,-51.5,81.3,33.3,66.7,429.5
EUR_JPY,1.0,0.05,1.5,9,-0.07,44.4,120.9,-0.0,4.6,-67.6,81.3,44.4,55.6,429.5
EUR_JPY,1.0,0.05,2.0,9,-0.23,44.4,159.9,-0.0,4.9,-89.6,81.3,44.4,55.6,429.5
EUR_JPY,1.0,0.075,0.5,9,0.15,33.3,82.4,0.0,1.9,-24.9,80.0,33.3,66.7,429.5
EUR_JPY,1.0,0.075,1.0,9,-0.08,33.3,150.2,-0.0,2.6,-51.5,80.0,33.3,66.7,429.5
EUR_JPY,1.0,0.075,1.5,9,-0.07,44.4,120.9,-0.0,4.6,-67.6,80.0,44.4,55.6,429.5
EUR_JPY,1.0,0.075,2.0,9,-0.24,44.4,159.9,-0.0,4.9,-89.6,80.0,44.4,55.6,429.5
EUR_JPY,1.0,0.1,0.5,9,0.14,33.3,82.4,0.0,1.9,-24.9,78.6,33.3,66.7,429.5
EUR_JPY,1.0,0.1,1.0,9,-0.09,33.3,150.2,-0.0,2.6,-51.5,78.6,33.3,66.7,429.5
EUR_JPY,1.0,0.1,1.5,9,-0.08,44.4,120.9,-0.0,4.6,-67.6,78.6,44.4,55.6,429.5
EUR_JPY,1.0,0.1,2.0,9,-0.24,44.4,159.9,-0.0,4.9,-89.6,78.6,44.4,55.6,429.5
EUR_JPY,1.0,0.15,0.5,9,0.13,33.3,82.4,0.0,1.9,-24.9,75.9,33.3,66.7,429.5
EUR_JPY,1.0,0.15,1.0,9,-0.1,33.3,150.2,-0.0,2.6,-51.5,75.9,33.3,66.7,429.5
EUR_JPY,1.0,0.15,1.5,9,-0.1,44.4,120.9,-0.0,4.6,-67.6,75.9,44.4,55.6,429.5
EUR_JPY,1.0,0.15,2.0,9,-0.26,44.4,159.9,-0.0,4.9,-89.6,75.9,44.4,55.6,429.5
EUR_JPY,1.0,0.2,0.5,9,0.12,33.3,82.4,0.0,1.9,-24.9,73.2,33.3,66.7,429.5
EUR_JPY,1.0,0.2,1.0,9,-0.11,33.3,150.2,-0.0,2.6,-51.5,73.2,33.3,66.7,429.5
EUR_JPY,1.0,0.2,1.5,9,-0.11,44.4,120.9,-0.0,4.6,-67.6,73.2,44.4,55.6,429.5
EUR_JPY,1.0,0.2,2.0,9,-0.28,44.4,159.9,-0.0,4.9,-89.6,73.2,44.4,55.6,429.5
EUR_JPY,1.5,0.05,0.5,9,0.19,33.3,82.4,0.0,2.0,-24.9,81.3,33.3,66.7,429.5
EUR_JPY,1.5,0.05,1.0,9,-0.04,33.3,150.2,-0.0,2.7,-51.5,81.3,33.3,66.7,429.5
EUR_JPY,1.5,0.05,1.5,9,-0.03,44.4,120.9,-0.0,4.7,-67.6,81.3,44.4,55.6,429.5
EUR_JPY,1.5,0.05,2.0,9,-0.19,44.4,159.9,-0.0,5.0,-89.6,81.3,44.4,55.6,429.5
EUR_JPY,1.5,0.075,0.5,9,0.19,33.3,82.4,0.0,2.0,-24.9,80.0,33.3,66.7,429.5
EUR_JPY,1.5,0.075,1.0,9,-0.04,33.3,150.2,-0.0,2.7,-51.5,80.0,33.3,66.7,429.5
EUR_JPY,1.5,0.075,1.5,9,-0.03,44.4,120.9,-0.0,4.7,-67.6,80.0,44.4,55.6,429.5
EUR_JPY,1.5,0.075,2.0,9,-0.2,44.4,159.9,-0.0,5.0,-89.6,80.0,44.4,55.6,429.5
EUR_JPY,1.5,0.1,0.5,9,0.18,33.3,82.4,0.0,2.0,-24.9,78.6,33.3,66.7,429.5
EUR_JPY,1.5,0.1,1.0,9,-0.05,33.3,150.2,-0.0,2.7,-51.5,78.6,33.3,66.7,429.5
EUR_JPY,1.5,0.1,1.5,9,-0.04,44.4,120.9,-0.0,4.7,-67.6,78.6,44.4,55.6,429.5
EUR_JPY,1.5,0.1,2.0,9,-0.2,44.4,159.9,-0.0,5.0,-89.6,78.6,44.4,55.6,429.5
EUR_JPY,1.5,0.15,0.5,9,0.17,33.3,82.4,0.0,2.0,-24.9,75.9,33.3,66.7,429.5
EUR_JPY,1.5,0.15,1.0,9,-0.06,33.3,150.2,-0.0,2.7,-51.5,75.9,33.3,66.7,429.5
EUR_JPY,1.5,0.15,1.5,9,-0.06,44.4,120.9,-0.0,4.7,-67.6,75.9,44.4,55.6,429.5
EUR_JPY,1.5,0.15,2.0,9,-0.22,44.4,159.9,-0.0,5.0,-89.6,75.9,44.4,55.6,429.5
EUR_JPY,1.5,0.2,0.5,9,0.16,33.3,82.4,0.0,2.0,-24.9,73.2,33.3,66.7,429.5
EUR_JPY,1.5,0.2,1.0,9,-0.07,33.3,150.2,-0.0,2.7,-51.5,73.2,33.3,66.7,429.5
EUR_JPY,1.5,0.2,1.5,9,-0.07,44.4,120.9,-0.0,4.7,-67.6,73.2,44.4,55.6,429.5
EUR_JPY,1.5,0.2,2.0,9,-0.24,44.4,159.9,-0.0,5.0,-89.6,73.2,44.4,55.6,429.5
EUR_JPY,2.0,0.05,0.5,9,0.28,33.3,82.4,0.0,3.1,-24.9,118.7,33.3,66.7,429.5
EUR_JPY,2.0,0.05,1.0,9,0.05,33.3,150.2,0.0,3.8,-51.5,118.7,33.3,66.7,429.5
EUR_JPY,2.0,0.05,1.5,9,0.21,44.4,120.9,0.0,6.4,-67.6,123.9,44.4,55.6,429.5
EUR_JPY,2.0,0.05,2.0,9,0.05,44.4,159.9,0.0,6.8,-89.6,123.9,44.4,55.6,429.5
EUR_JPY,2.0,0.075,0.5,9,0.27,33.3,82.4,0.0,3.1,-24.9,117.4,33.3,66.7,429.5
EUR_JPY,2.0,0.075,1.0,9,0.04,33.3,150.2,0.0,3.8,-51.5,117.4,33.3,66.7,429.5
EUR_JPY,2.0,0.075,1.5,9,0.21,44.4,120.9,0.0,6.4,-67.6,123.1,44.4,55.6,429.5
EUR_JPY,2.0,0.075,2.0,9,0.04,44.4,159.9,0.0,6.8,-89.6,123.1,44.4,55.6,429.5
EUR_JPY,2.0,0.1,0.5,9,0.27,33.3,82.4,0.0,3.1,-24.9,116.0,33.3,66.7,429.5
EUR_JPY,2.0,0.1,1.0,9,0.04,33.3,150.2,0.0,3.8,-51.5,116.0,33.3,66.7,429.5
EUR_JPY,2.0,0.1,1.5,9,0.2,44.4,120.9,0.0,6.4,-67.6,122.2,44.4,55.6,429.5
EUR_JPY,2.0,0.1,2.0,9,0.04,44.4,159.9,0.0,6.8,-89.6,122.2,44.4,55.6,429.5
EUR_JPY,2.0,0.15,0.5,9,0.26,33.3,82.4,0.0,3.1,-24.9,113.3,33.3,66.7,429.5
EUR_JPY,2.0,0.15,1.0,9,0.03,33.3,150.2,0.0,3.8,-51.5,113.3,33.3,66.7,429.5
EUR_JPY,2.0,0.15,1.5,9,0.18,44.4,120.9,0.0,6.4,-67.6,120.6,44.4,55.6,429.5
EUR_JPY,2.0,0.15,2.0,9,0.02,44.4,159.9,0.0,6.8,-89.6,120.6,44.4,55.6,429.5
EUR_JPY,2.0,0.2,0.5,9,0.24,33.3,82.4,0.0,3.1,-24.9,110.6,33.3,66.7,429.5
EUR_JPY,2.0,0.2,1.0,9,0.01,33.3,150.2,0.0,3.8,-51.5,110.6,33.3,66.7,429.5
EUR_JPY,2.0,0.2,1.5,9,0.17,44.4,120.9,0.0,6.4,-67.6,118.9,44.4,55.6,429.5
EUR_JPY,2.0,0.2,2.0,9,0.0,44.4,159.9,0.0,6.8,-89.6,118.9,44.4,55.6,429.5
GBP_USD,1.0,0.05,0.5,18,-0.35,11.1,141.3,-0.0,3.0,-21.4,24.1,11.1,88.9,429.5
GBP_USD,1.0,0.05,1.0,18,-0.15,44.4,118.8,-0.0,5.6,-40.8,32.4,44.4,55.6,429.5
GBP_USD,1.0,0.05,1.5,18,-0.28,50.0,154.5,-0.0,6.7,-60.2,32.4,50.0,50.0,429.5
GBP_USD,1.0,0.05,2.0,18,-0.32,55.6,165.4,-0.0,7.7,-79.4,32.4,55.6,44.4,429.5
GBP_USD,1.0,0.075,0.5,18,-0.36,11.1,142.4,-0.0,3.0,-21.4,23.5,11.1,88.9,429.5
GBP_USD,1.0,0.075,1.0,18,-0.16,44.4,120.3,-0.0,5.6,-40.8,31.9,44.4,55.6,429.5
GBP_USD,1.0,0.075,1.5,18,-0.29,50.0,155.0,-0.0,6.7,-60.2,31.9,50.0,50.0,429.5
GBP_USD,1.0,0.075,2.0,18,-0.33,55.6,167.4,-0.0,7.7,-79.4,31.9,55.6,44.4,429.5
GBP_USD,1.0,0.1,0.5,18,-0.36,11.1,143.5,-0.0,3.0,-21.4,22.8,11.1,88.9,429.5
GBP_USD,1.0,0.1,1.0,18,-0.16,44.4,121.9,-0.0,5.6,-40.8,31.4,44.4,55.6,429.5
GBP_USD,1.0,0.1,1.5,18,-0.3,50.0,155.4,-0.0,6.7,-60.2,31.4,50.0,50.0,429.5
GBP_USD,1.0,0.1,2.0,18,-0.35,55.6,169.4,-0.0,7.7,-79.4,31.4,55.6,44.4,429.5
GBP_USD,1.0,0.15,0.5,18,-0.37,11.1,145.8,-0.0,3.0,-21.4,21.4,11.1,88.9,429.5
GBP_USD,1.0,0.15,1.0,18,-0.18,44.4,125.0,-0.0,5.6,-40.8,30.4,44.4,55.6,429.5
GBP_USD,1.0,0.15,1.5,18,-0.32,50.0,157.7,-0.0,6.7,-60.2,30.4,50.0,50.0,429.5
