pair,activate,trail,n,ppd,wr,mdd,calmar,mean_hold_h1,max_loss,max_win,days
AUD_JPY,1.5,0.25,13,0.73,92.3,91.1,0.01,33.8,-91.1,85.8,429.5
AUD_JPY,1.5,0.3,13,0.7,92.3,91.1,0.01,33.8,-91.1,83.8,429.5
AUD_JPY,1.5,0.4,13,0.64,92.3,91.1,0.01,33.8,-91.1,79.7,429.5
AUD_JPY,1.5,0.5,13,0.59,92.3,91.1,0.01,33.8,-91.1,75.7,429.5
AUD_JPY,2.0,0.1,13,1.07,92.3,91.1,0.01,39.2,-91.1,91.8,429.5
AUD_JPY,2.0,0.2,13,1.02,92.3,91.1,0.01,39.2,-91.1,87.8,429.5
AUD_JPY,2.0,0.25,13,0.99,92.3,91.1,0.01,39.2,-91.1,85.8,429.5
AUD_JPY,2.0,0.3,13,0.96,92.3,91.1,0.01,39.2,-91.1,83.8,429.5
AUD_JPY,2.0,0.4,13,0.9,92.3,91.1,0.01,39.2,-91.1,79.7,429.5
AUD_JPY,2.0,0.5,13,0.84,92.3,91.1,0.01,39.2,-91.1,75.7,429.5
EUR_USD,0.25,0.1,15,0.57,93.3,1.9,0.3,8.1,-1.9,69.6,429.5
EUR_USD,0.25,0.2,15,0.52,80.0,3.5,0.15,8.1,-3.5,67.7,429.5
EUR_USD,0.25,0.25,15,0.49,73.3,4.3,0.11,8.1,-4.3,66.8,429.5
EUR_USD,0.25,0.3,15,0.46,73.3,5.0,0.09,8.1,-5.0,65.9,429.5
EUR_USD,0.25,0.4,15,0.45,73.3,3.9,0.12,8.2,-3.9,64.0,429.5
EUR_USD,0.25,0.5,15,0.4,60.0,5.7,0.07,8.2,-5.5,62.2,429.5
EUR_USD,0.5,0.1,15,0.71,100.0,0.0,0.0,8.9,3.8,69.6,429.5
EUR_USD,0.5,0.2,15,0.66,100.0,0.0,0.0,8.9,2.9,67.7,429.5
EUR_USD,0.5,0.25,15,0.63,100.0,0.0,0.0,8.9,2.4,66.8,429.5
EUR_USD,0.5,0.3,15,0.6,100.0,0.0,0.0,8.9,2.0,65.9,429.5
EUR_USD,0.5,0.4,15,0.55,100.0,0.0,0.0,8.9,1.0,64.0,429.5
EUR_USD,0.5,0.5,15,0.49,86.7,0.6,0.79,8.9,-0.6,62.2,429.5
EUR_USD,1.0,0.1,15,0.82,100.0,0.0,0.0,12.8,8.0,69.6,429.5
EUR_USD,1.0,0.2,15,0.76,100.0,0.0,0.0,12.8,7.1,67.7,429.5
EUR_USD,1.0,0.25,15,0.73,100.0,0.0,0.0,12.8,6.6,66.8,429.5
EUR_USD,1.0,0.3,15,0.71,100.0,0.0,0.0,12.9,6.2,65.9,429.5
EUR_USD,1.0,0.4,15,0.66,100.0,0.0,0.0,12.9,5.3,64.0,429.5
EUR_USD,1.0,0.5,15,0.6,100.0,0.0,0.0,13.2,4.4,62.2,429.5
EUR_USD,1.5,0.1,15,0.44,86.7,210.0,0.0,31.7,-158.9,69.6,429.5
EUR_USD,1.5,0.2,15,0.4,86.7,211.5,0.0,31.7,-158.9,67.7,429.5
EUR_USD,1.5,0.25,15,0.37,86.7,212.3,0.0,31.7,-158.9,66.8,429.5
EUR_USD,1.5,0.3,15,0.35,86.7,213.1,0.0,31.7,-158.9,65.9,429.5
EUR_USD,1.5,0.4,15,0.31,86.7,214.6,0.0,31.9,-158.9,64.0,429.5
EUR_USD,1.5,0.5,15,0.28,86.7,216.1,0.0,32.1,-158.9,62.2,429.5
EUR_USD,2.0,0.1,15,0.12,73.3,294.8,0.0,44.5,-158.9,69.6,429.5
EUR_USD,2.0,0.2,15,0.08,73.3,298.0,0.0,44.5,-158.9,67.7,429.5
EUR_USD,2.0,0.25,15,0.06,73.3,299.5,0.0,44.5,-158.9,66.8,429.5
EUR_USD,2.0,0.3,15,0.04,73.3,301.1,0.0,44.5,-158.9,65.9,429.5
EUR_USD,2.0,0.4,15,0.01,73.3,304.2,0.0,44.5,-158.9,64.0,429.5
EUR_USD,2.0,0.5,15,-0.03,73.3,307.3,-0.0,44.9,-158.9,62.2,429.5
EUR_GBP,0.25,0.1,21,0.14,85.7,27.1,0.01,18.9,-27.1,26.3,429.5
EUR_GBP,0.25,0.2,21,0.1,85.7,27.1,0.0,18.9,-27.1,25.6,429.5
EUR_GBP,0.25,0.25,21,0.08,76.2,27.1,0.0,18.9,-27.1,25.2,429.5
EUR_GBP,0.25,0.3,21,0.08,76.2,27.1,0.0,19.0,-27.1,24.8,429.5
EUR_GBP,0.25,0.4,21,0.04,61.9,27.1,0.0,19.1,-27.1,24.0,429.5
EUR_GBP,0.25,0.5,21,0.01,57.1,28.6,0.0,19.3,-27.1,23.3,429.5
EUR_GBP,0.5,0.1,21,0.25,95.2,27.1,0.01,20.9,-27.1,26.3,429.5
EUR_GBP,0.5,0.2,21,0.21,95.2,27.1,0.01,20.9,-27.1,25.6,429.5
EUR_GBP,0.5,0.25,21,0.19,95.2,27.1,0.01,20.9,-27.1,25.2,429.5
EUR_GBP,0.5,0.3,21,0.17,95.2,27.1,0.01,20.9,-27.1,24.8,429.5
