pair,tf,ind,framing,ic_is,ic_oos,avg_is,avg_oos,t_oos,n_oos
USD_JPY,H1,Vortex14,contra,-0.012365701612130952,-0.007886426698790921,-2.091315931892957,-2.1088032611860736,-11.9563395351181,10303
USD_JPY,H1,Fisher10,trend,0.0012611483304900272,0.018091426349351323,-1.8310565723793977,-1.6208013971087651,-9.172950233223235,10307
USD_JPY,H1,Fisher10,contra,-0.0012611483304900272,-0.018091426349351323,-1.9086647254575986,-2.2936547977103086,-13.005211520759817,10307
USD_JPY,H1,RSI2,trend,0.00365509041753356,-0.005886689758091055,-1.7145993589743918,-1.923152173913077,-5.222417830549671,2760
USD_JPY,H1,RSI2,contra,-0.00365509041753356,0.005886689758091055,-1.8064583333333541,-1.7326449275362492,-4.705381245827562,2760
USD_JPY,H4,TRIX14,trend,-0.004031154603492606,-0.014589386309522362,-1.7897988736927049,-2.2897897897897415,-3.307266556804623,2664
USD_JPY,H4,TRIX14,contra,0.004031154603492606,0.014589386309522362,-1.781222847948539,-1.3685810810810417,-1.9750467023241247,2664
USD_JPY,H4,Vortex14,trend,0.015198502880413663,-0.003992713949728755,-1.183919354838732,-1.9310060060059784,-2.7874691842599764,2664
USD_JPY,H4,Vortex14,contra,-0.015198502880413663,0.003992713949728755,-2.3881451612903533,-1.727364864864805,-2.493844173157493,2664
USD_JPY,H4,Fisher10,trend,0.015312156663136008,-0.020457833641831746,-1.1751893024005393,-2.491891891891848,-3.5978744751871368,2664
USD_JPY,H4,Fisher10,contra,-0.015312156663136008,0.020457833641831746,-2.3973256001289154,-1.1664789789789358,-1.6842926522972514,2664
USD_JPY,H4,RSI2,trend,-0.005242360857329581,0.0012658573263216579,-2.117227833894531,-2.0922875816992756,-1.6897428479292171,765
USD_JPY,H4,RSI2,contra,0.005242360857329581,-0.0012658573263216579,-1.361560044893388,-1.5010457516339468,-1.2119489479587975,765
USD_JPY,D1,TRIX14,trend,0.03479786693650024,-0.04019369684460546,0.8740248962655389,-5.174468085106423,-1.4015768482516804,517
USD_JPY,D1,TRIX14,contra,-0.03479786693650024,0.04019369684460546,-6.09659751037347,-0.07369439071572233,-0.019973882451692893,517
USD_JPY,D1,Vortex14,trend,0.06451154825547713,-0.03708050074460233,2.909907640638104,-5.276402321083248,-1.4291048184150776,517
USD_JPY,D1,Vortex14,contra,-0.06451154825547713,0.03708050074460233,-8.12560873215789,0.02823984526110277,0.0076550533607751955,517
USD_JPY,D1,Fisher10,trend,0.023312922977586067,-0.04121734181278413,-0.06073517126151245,-5.5810444874275085,-1.512196885466078,517
USD_JPY,D1,Fisher10,contra,-0.023312922977586067,0.04121734181278413,-5.149540517961595,0.33288201160536113,0.09022253841988094,517
USD_JPY,D1,RSI2,trend,-0.021271886225979343,0.05511839826742208,-5.661357702349838,4.945864661654094,0.6516022820083212,133
USD_JPY,D1,RSI2,contra,0.021271886225979343,-0.05511839826742208,0.14804177545690983,-10.063157894736959,-1.3197614787356742,133
EUR_JPY,M15,TRIX14,trend,-0.0008828290271832786,-0.006826064379322161,-2.32561234249593,-3.0829949300148396,-66.3793004613526,41223
EUR_JPY,M15,TRIX14,contra,0.0008828290271832786,0.006826064379322161,-2.3167037468291096,-2.9691458651723948,-64.22143278684884,41223
EUR_JPY,M15,Vortex14,trend,-8.312130768518463e-05,0.0025553730668869336,-2.319310165435421,-2.9973955678536295,-64.49029946327374,41199
EUR_JPY,M15,Vortex14,contra,8.312130768518463e-05,-0.0025553730668869336,-2.3230537925293784,-3.053824121944749,-66.0405594363707,41199
EUR_JPY,M15,Fisher10,trend,-0.0037690228270022648,-0.0002809201109752829,-2.350741318361391,-3.024010867719519,-65.20781652532929,41223
EUR_JPY,M15,Fisher10,contra,0.0037690228270022648,0.0002809201109752829,-2.2917020170513447,-3.028129927467716,-65.39530614566208,41223
EUR_JPY,M15,RSI2,trend,0.009638229960211605,0.03097454530934282,-2.1563315067329096,-2.6166747927840555,-26.06780459205452,10255
EUR_JPY,M15,RSI2,contra,-0.009638229960211605,-0.03097454530934282,-2.3374368123698925,-3.228629936616337,-31.615472185362872,10255
EUR_JPY,H1,TRIX14,trend,0.0010770974671701697,-0.019069981584278504,-2.362171490352615,-3.4037935383720277,-19.356102079544062,10307
EUR_JPY,H1,TRIX14,contra,-0.0010770974671701697,0.019069981584278504,-2.4319777112441634,-2.786581934607593,-15.869332397584786,10307
EUR_JPY,H1,Vortex14,trend,0.004992201413498445,-0.00916165358177768,-2.299105210587636,-3.2369529354682647,-18.42377925330081,10305
EUR_JPY,H1,Vortex14,contra,-0.004992201413498445,0.00916165358177768,-2.4948934576327457,-2.9538476467734585,-16.79658598587894,10305
EUR_JPY,H1,Fisher10,trend,0.005935286227985997,-0.008063330422525385,-2.281555740432598,-3.2102842728243397,-18.24245764168787,10307
EUR_JPY,H1,Fisher10,contra,-0.005935286227985997,0.008063330422525385,-2.512624792013298,-2.980091200155282,-16.979325015679496,10307
EUR_JPY,H1,RSI2,trend,0.012373805181152159,0.017097477196308553,-2.000887669464147,-2.5424952015355284,-6.444030538909184,2605
