pair,scale,bars,ind,framing,ic_oos,avg_oos,t_oos,n_oos
NZD_JPY,vbar~H4,5600,RSI2,trend,0.003698300337364797,-2.9114864864864534,-1.7867902391027357,444
NZD_JPY,vbar~H4,5600,RSI2,contra,-0.003698300337364797,-3.3180180180180434,-2.037537239725605,444
CHF_JPY,vbar~D1,1400,TRIX14,trend,0.03784344241445069,1.5578571428571655,0.332979068534343,420
CHF_JPY,vbar~D1,1400,TRIX14,contra,-0.03784344241445069,-9.664285714285668,-2.056478668300878,420
CHF_JPY,vbar~D1,1400,Vortex14,trend,0.03523852553837041,0.6821428571428799,0.14566367867142635,420
CHF_JPY,vbar~D1,1400,Vortex14,contra,-0.03523852553837041,-8.788571428571382,-1.8700688108779397,420
CHF_JPY,vbar~D1,1400,Fisher10,trend,0.06576563256129807,3.4938095238095186,0.7474922747635931,420
CHF_JPY,vbar~D1,1400,Fisher10,contra,-0.06576563256129807,-11.600238095238023,-2.472886802413428,420
CHF_JPY,vbar~D1,1400,RSI2,trend,0.20946564447678745,18.465048543689385,1.9124709058940041,103
CHF_JPY,vbar~D1,1400,RSI2,contra,-0.20946564447678745,-26.066990291262204,-2.6997021265781944,103
CHF_JPY,vbar~H4,5600,TRIX14,trend,0.005682389948463106,-3.518571428571371,-2.9490274769866662,1680
CHF_JPY,vbar~H4,5600,TRIX14,contra,-0.005682389948463106,-4.711488095238032,-3.9466815315833905,1680
CHF_JPY,vbar~H4,5600,Vortex14,trend,0.002063245780820395,-3.8307738095237536,-3.213198562718691,1680
CHF_JPY,vbar~H4,5600,Vortex14,contra,-0.002063245780820395,-4.399285714285649,-3.6818714526857392,1680
CHF_JPY,vbar~H4,5600,Fisher10,trend,-0.002946219713835304,-4.070654761904711,-3.4117661181405383,1680
CHF_JPY,vbar~H4,5600,Fisher10,contra,0.002946219713835304,-4.159404761904692,-3.4836814408847885,1680
CHF_JPY,vbar~H4,5600,RSI2,trend,0.11578543269997818,1.6460992907801606,0.652125559072524,423
CHF_JPY,vbar~H4,5600,RSI2,contra,-0.11578543269997818,-9.973758865248179,-3.944027883587615,423
NZD_USD,vbar~D1,1400,TRIX14,trend,-0.006316331119622867,-1.8014285714285674,-1.15229605032302,420
NZD_USD,vbar~D1,1400,TRIX14,contra,0.006316331119622867,-1.481428571428578,-0.9477811249932173,420
NZD_USD,vbar~D1,1400,Vortex14,trend,-0.07812699257403077,-4.177619047619042,-2.6822670681216882,420
NZD_USD,vbar~D1,1400,Vortex14,contra,0.07812699257403077,0.8947619047618953,0.5738983430072824,420
NZD_USD,vbar~D1,1400,Fisher10,trend,-0.08956183855000906,-4.505952380952382,-2.898144836988622,420
NZD_USD,vbar~D1,1400,Fisher10,contra,0.08956183855000906,1.223095238095236,0.7844882850205174,420
NZD_USD,vbar~D1,1400,RSI2,trend,-0.008905619229539618,-1.953781512605032,-0.641924899052528,119
NZD_USD,vbar~D1,1400,RSI2,contra,0.008905619229539618,-1.4016806722688258,-0.4611462067367186,119
NZD_USD,vbar~H4,5600,TRIX14,trend,-0.026036699884789804,-2.047738095238092,-5.043155675608026,1680
NZD_USD,vbar~H4,5600,TRIX14,contra,0.026036699884789804,-1.183214285714284,-2.9217606869017954,1680
NZD_USD,vbar~H4,5600,Vortex14,trend,0.0024998669454538696,-1.5660714285714286,-3.8533319705134614,1680
NZD_USD,vbar~H4,5600,Vortex14,contra,-0.0024998669454538696,-1.6648809523809476,-4.112247289121406,1680
NZD_USD,vbar~H4,5600,Fisher10,trend,-0.0033874221138699458,-1.6718452380952364,-4.114037411961901,1680
NZD_USD,vbar~H4,5600,Fisher10,contra,0.0033874221138699458,-1.5591071428571395,-3.8505742472191726,1680
