fast,slow,ag,trig,ma,K,exp,wr,n,tdpp,pdpp,pairs_pos,pairs_n,wf_pos,med_meat,med_sp
10s,5m,both,two_outside,14,1.5,-2.395800400830269,0.09950612767514176,5467,17.520937189836943,-3.498055695194443,0,12,0,1.3745627729466747,1.9001007080078125
10s,5m,both,two_outside,20,1.0,-2.248424163456138,0.07662951373918389,234257,750.7594994109443,-140.66881661831675,0,12,0,1.0470431821107962,1.9500732421875
10s,5m,both,two_outside,20,1.5,-2.2311178183518137,0.1385596752564242,27591,88.4251285905965,-16.440573332377518,0,12,0,1.7916148247187902,1.9496917724609375
10s,5m,both,two_outside,20,2.0,-3.7714457393600997,0.1422924901185771,253,0.8108280792077458,-0.25483284205679885,0,12,0,2.4482789585972053,1.949310302734375
10s,5m,both,two_outside,50,1.0,-2.276566423386091,0.17416075563531888,245727,787.5191755710741,-149.4033094064836,0,12,0,1.7093537660002767,1.999664306640625
10s,5m,both,two_outside,50,1.5,-2.205145370465183,0.222818916228791,86402,276.9058011846152,-50.88479546143389,0,12,0,2.895823427640676,1.9504547119140625
10s,5m,both,two_outside,50,2.0,-2.259354225097109,0.20041644976574702,11526,36.93914798793865,-6.954885006503045,0,12,0,4.4801339936384466,1.9994020462036133
10s,5m,both,two_outside,50,2.5,-2.873363375684904,0.1593625498007968,502,1.6088367421434322,-0.38523104769426303,0,12,0,6.273976152753047,2.100372314453125
10s,5m,basis,reenter,5,1.0,-2.450279403642197,0.0024691591435458712,528925,1695.1274379247309,-346.12798730797795,0,12,0,0.28536310397226927,1.9001960754394531
10s,5m,basis,reenter,5,1.5,-3.1883111573840925,0.0029832161664375212,38549,123.54391946790273,-32.824704738873,0,12,0,0.3863318968967633,2.199411392211914
10s,5m,basis,reenter,5,2.0,-3.152656883800868,0.025540275049115914,509,1.6175298309486097,-0.5099516556293389,0,10,0,0.3297324158546555,1.5500187873840332
10s,5m,basis,reenter,9,1.0,-2.3146341688758314,0.021010537949392886,1346372,4314.9257812612295,-832.2895541225403,0,12,0,0.5818630633180888,1.9502639770507812
10s,5m,basis,reenter,9,1.5,-2.3880978260944286,0.03583918201862426,247634,793.6308322787783,-157.93900544053855,0,12,0,0.7940174035971914,1.9001960754394531
10s,5m,basis,reenter,9,2.0,-3.911376248246616,0.02786190187764991,9906,31.74728439775466,-10.34796451164233,0,12,0,0.8445057965207337,2.3502349853515625
10s,5m,basis,reenter,9,2.5,-8.695901270916346,0.033783783783783786,740,2.371592010330956,-1.7185941647276677,0,12,0,1.621813150154594,6.375139951705933
10s,5m,basis,reenter,14,1.0,-2.3321671871804956,0.03954740325113111,1441283,4619.101685710582,-897.7097821386945,0,12,0,0.78473522250877,1.999664306640625
10s,5m,basis,reenter,14,1.5,-2.2727846565548218,0.0784010546388862,609877,1954.5667844386655,-370.1924498236579,0,12,0,1.2213616281115947,1.9496917724609375
10s,5m,basis,reenter,14,2.0,-2.586429988978908,0.0920357941834452,67050,214.8854652603927,-46.31551762876375,0,12,0,1.4212529358814674,1.9490718841552734
10s,5m,basis,reenter,14,2.5,-5.762939997969243,0.0659550133434998,2623,8.406332220402835,-4.037099015764757,0,12,0,1.6663699142952737,2.9506683349609375
10s,5m,basis,reenter,14,3.0,-9.866514942848662,0.06295399515738499,413,1.3236047300901146,-1.088280487321607,0,12,0,3.4831888547813605,9.700357913970947
10s,5m,basis,reenter,20,1.0,-2.3516902828582884,0.06011240274318049,1300680,4168.489589185497,-816.916371756956,0,12,0,0.9652430257290234,2.0000457763671875
10s,5m,basis,reenter,20,1.5,-2.2683142091612174,0.10819998113682093,763392,2446.559956689958,-462.4638927770571,0,12,0,1.5354001634199088,1.9502639770507812
10s,5m,basis,reenter,20,2.0,-2.320973320290535,0.1324909045763206,185258,593.7248549322868,-114.83496232426715,0,12,0,2.012787673249483,1.9490718841552734
10s,5m,basis,reenter,20,2.5,-3.29946803566422,0.12972238122495708,13976,44.79104045457492,-12.315550522001077,0,12,0,2.2028788159694557,2.0496368408203125
10s,5m,basis,reenter,20,3.0,-8.836980172837821,0.07917174177831912,821,2.631185189840155,-1.9376442794734976,0,12,0,3.28535255304796,6.84967041015625
10s,5m,basis,reenter,50,1.0,-2.399281965701878,0.15135778468814906,774681,2482.7395542637773,-496.3993531733167,0,12,0,1.615891753767662,2.00042724609375
10s,5m,basis,reenter,50,1.5,-2.2970117253281233,0.18800446575632412,670883,2150.0821117119767,-411.56365175172186,0,12,0,2.5387877390443236,2.0000457763671875
10s,5m,basis,reenter,50,2.0,-2.263679374430143,0.17784948305161322,343071,1099.4924899679072,-207.4082059900994,0,12,0,3.464921824555711,1.999664306640625
10s,5m,basis,reenter,50,2.5,-2.344543488550752,0.16377575467177768,104350,334.42652199734493,-65.33979371229582,0,12,0,4.3971641160633235,1.9504547119140625
10s,5m,basis,reenter,50,3.0,-2.8135669217558856,0.14884655882071407,20894,66.96222089710135,-15.700224143616255,0,12,0,5.602869347649264,2.0000457763671875
10s,5m,basis,close_beyond,5,1.0,-2.4243461784633196,0.01189150959452253,1586426,5084.263819704455,-1027.1679634666514,0,12,0,0.47938136875700366,2.0000457763671875
10s,5m,basis,close_beyond,5,1.5,-2.316801017838898,0.051431221964831714,739473,2369.903052237112,-457.5494836335377,0,12,0,0.7024868926592376,2.00042724609375
10s,5m,basis,close_beyond,5,2.0,-2.1595049121567755,0.037489469250210614,4748,15.216647114934295,-2.7383686826047366,0,12,0,0.35324269805347974,1.5497207641601562
10s,5m,basis,close_beyond,9,1.0,-2.3059832758728596,0.032114655273818155,2601398,8337.100962825578,-1602.1012824616082,0,12,0,0.8729112894771296,2.0000457763671875
10s,5m,basis,close_beyond,9,1.5,-2.389768900662723,0.052462699823801376,624863,2002.5947275019353,-398.8115500346055,0,12,0,0.9845281711847065,1.9997358322143555
10s,5m,basis,close_beyond,9,2.0,-2.2462963734059143,0.1512271959428376,271717,870.8133327987789,-163.00873594828454,0,12,0,1.2335138275143542,2.0000457763671875
10s,5m,basis,close_beyond,9,2.5,-2.2536593601334696,0.2359887881849096,70283,225.24675846228456,-42.302455462354196,0,12,0,1.5981561280195455,1.900482177734375
10s,5m,basis,close_beyond,14,1.0,-2.293228014206918,0.05191663583575646,3056997,9797.229271359056,-1872.273385557385,0,12,0,1.2077579121651638,2.00042724609375
10s,5m,basis,close_beyond,14,1.5,-2.282857173998735,0.07536655151800016,1095685,3511.510529512802,-668.0230836558665,0,12,0,1.5085831443114817,1.999664306640625
10s,5m,basis,close_beyond,14,2.0,-2.446173877210416,0.13120679506326588,205561,658.7930070751914,-134.29352036635248,0,12,0,1.582423045366843,2.0003318786621094
10s,5m,basis,close_beyond,14,2.5,-2.1933559719801647,0.2700855546214332,101105,324.0267705466369,-59.225504354992715,0,12,0,1.9002107232712895,1.999664306640625
10s,5m,basis,close_beyond,14,3.0,-2.4419559081461713,0.3308871229322089,24664,79.04452073351716,-16.08526953431623,0,12,0,2.629774633812332,1.9504547119140625
10s,5m,basis,close_beyond,20,1.0,-2.2938150721695743,0.06891365039786244,3003048,9624.330599243725,-1839.7028823406743,0,12,0,1.5173862174078234,2.0496368408203125
10s,5m,basis,close_beyond,20,1.5,-2.257934584994734,0.08893415828658469,1451557,4652.028356405367,-875.3313096919906,0,12,0,1.950688071804052,2.0000457763671875
10s,5m,basis,close_beyond,20,2.0,-2.326271558551919,0.12372918081941484,341512,1094.4961224758722,-212.17460005508164,0,12,0,2.1463333272514484,1.9991397857666016
10s,5m,basis,close_beyond,20,2.5,-2.4345356849548585,0.24804470732630865,76587,245.4501585070499,-49.79643081360328,0,12,0,2.277664750932984,2.0503997802734375
10s,5m,basis,close_beyond,20,3.0,-2.189573836936595,0.3639741661505795,33909,108.67339659231403,-19.82903549579711,0,12,0,3.0213966305609574,2.0000457763671875
10s,5m,basis,close_beyond,50,1.0,-2.286085582037949,0.10257009171403696,2277623,7299.449336954085,-1390.5971571689333,0,12,0,2.6255217965697852,2.0498037338256836
10s,5m,basis,close_beyond,50,1.5,-2.250787047173905,0.103488454767894,1631496,5228.706592549883,-980.7254226653403,0,12,0,3.317488448354311,2.04925537109375
10s,5m,basis,close_beyond,50,2.0,-2.246216668200883,0.10280417624577178,682910,2188.626891587991,-409.6775170298027,0,12,0,4.032555481943145,2.0003318786621094
10s,5m,basis,close_beyond,50,2.5,-2.3294828819947027,0.12094177694983148,185734,595.2503654686618,-115.55212807169487,0,12,0,4.5160762653381425,2.0000457763671875
10s,5m,basis,close_beyond,50,3.0,-2.602057185136055,0.16448380215309819,40314,129.20048689794885,-28.015587937990386,0,12,0,5.17940957451557,2.0492076873779297
10s,5m,basis,two_outside,5,1.0,-2.9020098125492364,0.0002551150568906577,39198,125.62386975804434,-30.380141894020994,0,12,0,0.2473815969011639,2.0999908447265625
