pair,ws_thr,tp_pips,hold_min,trades,is_n,oos_n,is_pd,oos_pd,is_net,oos_net,oos_dd,oos_wr,tp_rate,n_long_pct
USD_JPY,1.5,1.0,30,48850,33130,15720,-344.82,-349.88,-54694.0,-27748.8,-82442.8,18.9,87.8,50.4
USD_JPY,1.5,2.0,1,252706,170424,82282,-1850.24,-1914.33,-293479.0,-151822.6,-445301.6,20.7,20.8,50.8
USD_JPY,1.5,2.0,2,163995,110535,53460,-1204.34,-1254.84,-191027.9,-99519.2,-290547.1,32.0,33.5,50.6
USD_JPY,1.5,2.0,5,91292,61542,29750,-675.27,-692.11,-107109.1,-54890.2,-161999.3,48.9,51.9,50.4
USD_JPY,1.5,2.0,10,59624,40175,19449,-429.09,-455.44,-68060.6,-36120.1,-104182.1,60.8,64.5,50.3
USD_JPY,1.5,2.0,30,31454,21388,10066,-222.75,-237.8,-35332.5,-18859.9,-54198.6,74.8,79.1,50.7
USD_JPY,1.5,3.0,1,240467,162057,78410,-1767.08,-1839.83,-280288.6,-145913.7,-426202.3,16.2,9.7,50.8
USD_JPY,1.5,3.0,2,149460,100464,48996,-1092.09,-1161.33,-173223.9,-92103.1,-265327.0,24.7,19.3,50.7
USD_JPY,1.5,3.0,5,77689,52149,25540,-575.77,-593.47,-91326.1,-47066.8,-138392.8,39.6,37.0,50.6
USD_JPY,1.5,3.0,10,48201,32419,15782,-353.13,-368.59,-56012.1,-29232.4,-85248.9,51.2,51.2,50.6
USD_JPY,1.5,3.0,30,24113,16291,7822,-168.91,-188.53,-26791.6,-14951.6,-41747.6,68.7,70.8,50.6
USD_JPY,1.5,5.0,1,234334,157866,76468,-1722.96,-1797.56,-273290.6,-142561.3,-415851.9,14.8,2.8,50.8
USD_JPY,1.5,5.0,2,140559,94374,46185,-1033.19,-1083.36,-163880.7,-85919.2,-249799.9,21.0,7.0,50.9
USD_JPY,1.5,5.0,5,67889,45479,22410,-494.53,-540.33,-78440.7,-42853.0,-121296.1,30.9,18.9,50.8
USD_JPY,1.5,5.0,10,39487,26423,13064,-278.97,-304.97,-44249.6,-24186.7,-68436.2,40.6,33.0,50.5
USD_JPY,1.5,5.0,30,17953,12001,5952,-130.21,-135.03,-20653.9,-10709.1,-31379.4,58.5,55.8,49.9
USD_JPY,2.0,1.0,1,254790,172320,82470,-1874.36,-1916.68,-297304.0,-152008.9,-449312.9,10.0,43.6,50.5
USD_JPY,2.0,1.0,2,185197,125233,59964,-1366.76,-1386.39,-216791.4,-109952.0,-326743.3,12.6,56.3,50.5
USD_JPY,2.0,1.0,5,117349,79436,37913,-860.34,-877.24,-136464.2,-69572.8,-206037.0,15.4,70.5,50.5
USD_JPY,2.0,1.0,10,82990,55954,27036,-599.69,-611.83,-95120.8,-48523.2,-143644.0,17.5,78.9,50.5
USD_JPY,2.0,1.0,30,47272,31940,15332,-342.3,-357.93,-54294.2,-28386.6,-82680.9,19.6,87.5,50.1
USD_JPY,2.0,2.0,1,224533,151673,72860,-1652.26,-1709.63,-262076.0,-135588.0,-397664.0,21.5,21.5,50.6
USD_JPY,2.0,2.0,2,151398,102236,49162,-1118.93,-1155.51,-177480.0,-91641.4,-269121.4,32.7,34.2,50.6
USD_JPY,2.0,2.0,5,87369,58908,28461,-651.26,-658.55,-103301.1,-52228.3,-155531.1,49.5,52.3,50.3
USD_JPY,2.0,2.0,10,57922,39181,18741,-411.68,-440.37,-65299.3,-34925.1,-100227.6,60.8,64.8,50.1
USD_JPY,2.0,2.0,30,31111,21010,10101,-214.57,-230.79,-34035.0,-18303.5,-52341.6,75.3,79.3,50.0
USD_JPY,2.0,3.0,1,213921,144422,69499,-1576.33,-1634.58,-250031.4,-129636.1,-379667.5,16.9,10.3,50.6
USD_JPY,2.0,3.0,2,138287,93221,45066,-1025.78,-1077.26,-162706.4,-85435.8,-248142.2,24.9,19.9,50.6
USD_JPY,2.0,3.0,5,74501,50155,24346,-557.0,-580.15,-88348.8,-46011.0,-134359.8,39.5,37.4,50.2
USD_JPY,2.0,3.0,10,47011,31557,15454,-350.19,-354.87,-55545.8,-28144.5,-83694.2,51.9,51.3,50.3
USD_JPY,2.0,3.0,30,23413,15872,7541,-179.09,-194.56,-28406.7,-15429.8,-43858.3,67.6,69.9,51.2
USD_JPY,2.0,5.0,1,208263,140523,67740,-1534.35,-1604.66,-243373.0,-127262.9,-370635.9,15.3,3.0,50.7
USD_JPY,2.0,5.0,2,129942,87451,42491,-964.26,-1009.94,-152947.9,-80096.5,-233044.4,21.3,7.3,50.6
USD_JPY,2.0,5.0,5,65062,43588,21474,-492.37,-526.07,-78098.5,-41721.9,-119820.4,31.1,19.0,50.6
USD_JPY,2.0,5.0,10,38449,25709,12740,-276.99,-305.89,-43934.8,-24259.7,-68195.8,40.9,32.7,50.8
USD_JPY,2.0,5.0,30,17905,12046,5859,-117.1,-129.62,-18574.1,-10280.0,-28856.7,58.3,56.6,50.8
USD_JPY,3.0,1.0,1,180505,121603,58902,-1340.28,-1381.06,-212590.4,-109529.4,-322119.8,11.1,46.3,49.8
USD_JPY,3.0,1.0,2,141109,95246,45863,-1045.82,-1075.77,-165884.8,-85317.6,-251202.4,13.4,58.3,49.8
USD_JPY,3.0,1.0,5,97638,65855,31783,-717.73,-745.18,-113843.1,-59098.9,-172941.9,15.7,71.7,49.8
USD_JPY,3.0,1.0,10,72255,48782,23473,-527.01,-544.88,-83593.1,-43213.7,-126806.9,17.6,79.5,50.0
USD_JPY,3.0,1.0,30,43143,29159,13984,-323.3,-322.96,-51281.5,-25613.7,-76895.2,19.4,87.6,49.5
USD_JPY,3.0,2.0,1,161770,109150,52620,-1202.09,-1245.9,-190670.8,-98810.6,-289481.4,24.3,24.3,49.9
USD_JPY,3.0,2.0,2,118621,80207,38414,-881.64,-913.4,-139842.2,-72440.3,-212282.5,35.5,36.9,50.0
USD_JPY,3.0,2.0,5,74910,50594,24316,-559.36,-577.39,-88723.0,-45792.2,-134517.1,51.1,54.0,49.8
USD_JPY,3.0,2.0,10,52147,35316,16831,-383.86,-408.41,-60886.3,-32390.0,-93279.9,61.7,65.5,50.1
USD_JPY,3.0,2.0,30,29504,20071,9433,-209.2,-225.72,-33182.2,-17901.7,-51087.5,75.2,79.5,49.4
USD_JPY,3.0,3.0,1,154168,103960,50208,-1150.36,-1187.47,-182465.4,-94176.6,-276642.0,19.2,12.2,50.0
USD_JPY,3.0,3.0,2,108809,73543,35266,-816.52,-843.75,-129512.9,-66916.8,-196429.6,27.3,22.0,50.2
USD_JPY,3.0,3.0,5,64651,43647,21004,-480.54,-495.57,-76222.4,-39302.9,-115525.3,41.2,39.2,49.8
USD_JPY,3.0,3.0,10,42935,28939,13996,-328.69,-330.99,-52135.2,-26250.4,-78391.7,52.9,52.5,49.7
USD_JPY,3.0,3.0,30,22616,15243,7373,-163.18,-172.25,-25883.1,-13661.2,-39550.4,68.5,70.6,49.5
USD_JPY,3.0,5.0,1,149689,100942,48747,-1117.43,-1163.82,-177243.1,-92300.8,-269543.9,17.2,3.7,50.1
USD_JPY,3.0,5.0,2,102110,68949,33161,-767.54,-807.26,-121744.6,-64022.8,-185767.3,23.0,8.4,50.2
USD_JPY,3.0,5.0,5,56638,38077,18561,-424.48,-444.29,-67328.8,-35236.3,-102565.1,33.1,20.7,49.9
USD_JPY,3.0,5.0,10,35405,23755,11650,-256.16,-275.63,-40630.8,-21859.7,-62495.1,42.2,34.2,50.2
USD_JPY,3.0,5.0,30,16949,11402,5547,-128.86,-143.83,-20438.8,-11406.5,-31845.3,56.6,55.5,49.3
EUR_JPY,0.3,1.0,1,388571,258620,129951,-4710.42,-4953.44,-759463.7,-399323.2,-1158786.9,1.1,40.2,50.9
EUR_JPY,0.3,1.0,2,246535,164155,82380,-2990.29,-3120.59,-482125.7,-251567.0,-733692.7,1.4,54.5,50.8
EUR_JPY,0.3,1.0,5,140873,94285,46588,-1697.94,-1749.5,-273759.6,-141036.2,-414795.8,1.8,70.5,50.7
EUR_JPY,0.3,1.0,10,94540,63284,31256,-1126.02,-1164.68,-181548.4,-93890.8,-275439.2,2.0,79.0,50.6
EUR_JPY,0.3,1.0,30,51914,34725,17189,-610.58,-621.51,-98443.5,-50103.2,-148546.7,2.5,88.1,50.7
EUR_JPY,0.3,2.0,1,334271,222280,111991,-4062.15,-4302.18,-654942.6,-346821.1,-1001763.7,3.5,18.0,50.9
EUR_JPY,0.3,2.0,2,194820,129686,65134,-2372.57,-2499.99,-382531.5,-201537.0,-584068.5,5.9,31.6,51.0
EUR_JPY,0.3,2.0,5,100548,66986,33562,-1215.86,-1267.65,-196033.2,-102191.8,-298225.0,9.1,51.7,50.8
EUR_JPY,0.3,2.0,10,63765,42643,21122,-762.08,-794.65,-122869.9,-64061.1,-186931.0,11.2,64.7,50.6
EUR_JPY,0.3,2.0,30,32847,21952,10895,-383.93,-400.37,-61901.0,-32275.6,-94176.6,14.2,79.4,50.4
EUR_JPY,0.3,3.0,1,318715,211889,106826,-3870.82,-4105.08,-624093.8,-330932.1,-955025.9,7.6,7.8,50.9
EUR_JPY,0.3,3.0,2,176967,117621,59346,-2155.5,-2285.9,-347532.5,-184278.8,-531811.6,16.1,17.3,51.1
EUR_JPY,0.3,3.0,5,84462,56322,28140,-1023.53,-1088.54,-165024.7,-87752.9,-252777.8,31.4,35.8,51.1
EUR_JPY,0.3,3.0,10,50755,33806,16949,-618.91,-636.76,-99787.8,-51332.8,-151120.9,45.6,50.9,50.9
EUR_JPY,0.3,3.0,30,24737,16429,8308,-297.13,-297.34,-47906.2,-23970.2,-71876.8,63.7,70.4,50.6
EUR_JPY,0.3,5.0,1,311879,207374,104505,-3797.78,-4024.54,-612318.4,-324439.7,-936758.1,5.7,1.9,51.0
EUR_JPY,0.3,5.0,2,167191,111113,56078,-2039.24,-2171.02,-328788.1,-175017.1,-503805.5,11.1,5.7,51.1
EUR_JPY,0.3,5.0,5,73582,48892,24690,-896.84,-959.83,-144597.7,-77377.3,-221975.1,22.3,17.2,51.0
EUR_JPY,0.3,5.0,10,41211,27437,13774,-484.95,-517.41,-78188.4,-41711.2,-119899.6,33.9,31.3,50.5
EUR_JPY,0.3,5.0,30,18276,12188,6088,-212.07,-210.5,-34192.2,-16969.5,-51161.7,54.6,55.2,50.8
EUR_JPY,0.5,1.0,1,377283,250980,126303,-4564.18,-4809.28,-735884.5,-387701.7,-1123586.2,1.1,40.3,50.9
EUR_JPY,0.5,1.0,2,242436,161429,81007,-2937.9,-3063.08,-473679.1,-246930.7,-720609.8,1.5,54.7,50.9
EUR_JPY,0.5,1.0,5,139545,93264,46281,-1677.63,-1731.17,-270484.5,-139558.5,-410042.9,1.7,70.5,50.9
EUR_JPY,0.5,1.0,10,93133,62095,31038,-1111.68,-1156.43,-179236.9,-93226.3,-272463.2,2.0,78.9,50.7
EUR_JPY,0.5,1.0,30,51903,34579,17324,-615.29,-622.65,-99204.1,-50195.1,-149399.3,2.5,88.1,50.7
EUR_JPY,0.5,2.0,1,325219,216137,109082,-3951.9,-4176.69,-637166.3,-336705.0,-973871.3,3.6,18.1,50.9
EUR_JPY,0.5,2.0,2,191902,127669,64233,-2333.19,-2470.47,-376182.1,-199157.8,-575339.8,5.9,31.7,50.8
EUR_JPY,0.5,2.0,5,99657,66342,33315,-1205.15,-1262.94,-194306.5,-101812.1,-296118.6,8.9,51.5,50.8
EUR_JPY,0.5,2.0,10,63269,42339,20930,-760.39,-792.17,-122598.1,-63861.2,-186459.3,11.4,64.6,50.3
EUR_JPY,0.5,2.0,30,32470,21779,10691,-380.59,-398.9,-61362.7,-32157.7,-93520.4,13.7,79.2,50.1
EUR_JPY,0.5,3.0,1,310224,206108,104116,-3771.21,-4000.74,-608034.1,-322520.5,-930554.6,7.8,7.9,50.9
EUR_JPY,0.5,3.0,2,174495,115948,58547,-2129.85,-2259.59,-343396.9,-182157.4,-525554.7,16.1,17.3,51.0
EUR_JPY,0.5,3.0,5,84135,56060,28075,-1010.66,-1079.43,-162949.7,-87018.6,-249968.6,31.7,36.0,51.1
EUR_JPY,0.5,3.0,10,50654,33776,16878,-609.83,-644.33,-98322.5,-51943.2,-150266.0,45.1,51.0,50.8
EUR_JPY,0.5,3.0,30,24754,16607,8147,-290.95,-301.02,-46909.7,-24267.2,-71177.2,62.5,70.3,50.8
EUR_JPY,0.5,5.0,1,303470,201704,101766,-3691.55,-3916.56,-595191.1,-315734.2,-910925.3,5.7,1.9,51.1
EUR_JPY,0.5,5.0,2,164772,109480,55292,-2021.65,-2146.74,-325951.5,-173059.7,-499011.5,11.2,5.7,50.9
EUR_JPY,0.5,5.0,5,73154,48640,24514,-890.91,-949.02,-143641.6,-76505.5,-220147.1,22.4,17.2,50.7
EUR_JPY,0.5,5.0,10,41034,27323,13711,-483.48,-520.77,-77951.9,-41981.6,-119933.6,34.0,31.2,50.7
EUR_JPY,0.5,5.0,30,18220,12204,6016,-210.28,-219.47,-33902.8,-17692.3,-51595.2,54.3,55.4,50.7
EUR_JPY,1.0,1.0,1,343841,228820,115021,-4163.18,-4408.06,-671232.0,-355356.8,-1026588.9,1.2,40.7,50.7
EUR_JPY,1.0,1.0,2,228224,152213,76011,-2770.61,-2917.97,-446707.3,-235232.6,-681940.0,1.5,54.7,50.8
EUR_JPY,1.0,1.0,5,134508,90061,44447,-1619.89,-1675.82,-261176.3,-135097.1,-396273.4,1.7,70.4,50.8
EUR_JPY,1.0,1.0,10,92152,61643,30509,-1099.26,-1135.14,-177234.2,-91510.0,-268744.2,2.0,79.2,50.7
EUR_JPY,1.0,1.0,30,51092,34327,16765,-610.31,-618.4,-98400.9,-49852.6,-148253.5,2.4,88.0,50.3
EUR_JPY,1.0,2.0,1,298908,198622,100286,-3633.23,-3861.87,-585787.6,-311326.0,-897113.6,3.8,18.7,50.9
EUR_JPY,1.0,2.0,2,182623,121544,61079,-2227.55,-2364.25,-359149.4,-190594.5,-549743.9,6.1,32.1,50.8
EUR_JPY,1.0,2.0,5,97127,64714,32413,-1184.56,-1234.6,-190986.5,-99527.2,-290513.7,9.3,51.5,50.3
EUR_JPY,1.0,2.0,10,61973,41348,20625,-752.59,-789.17,-121340.3,-63618.9,-184959.2,11.3,64.1,50.8
EUR_JPY,1.0,2.0,30,32248,21578,10670,-384.41,-389.71,-61978.8,-31416.4,-93395.2,14.8,79.3,50.5
EUR_JPY,1.0,3.0,1,285139,189467,95672,-3468.01,-3698.86,-559149.2,-298184.8,-857334.1,8.0,8.2,50.9
EUR_JPY,1.0,3.0,2,166219,110526,55693,-2032.6,-2167.31,-327717.5,-174718.4,-502436.2,16.3,17.7,50.9
EUR_JPY,1.0,3.0,5,82321,54816,27505,-1001.18,-1057.52,-161420.6,-85252.1,-246673.0,32.3,36.2,50.5
EUR_JPY,1.0,3.0,10,50109,33446,16663,-598.45,-630.9,-96488.0,-50860.3,-147348.7,45.3,51.2,50.7
EUR_JPY,1.0,3.0,30,24671,16395,8276,-289.78,-296.86,-46721.8,-23931.4,-70653.6,63.3,70.6,50.6
EUR_JPY,1.0,5.0,1,279020,185473,93547,-3391.16,-3606.32,-546759.4,-290724.6,-837483.9,6.0,2.1,50.9
EUR_JPY,1.0,5.0,2,157044,104431,52613,-1920.89,-2053.81,-309706.0,-165568.2,-475274.5,11.3,5.9,50.9
EUR_JPY,1.0,5.0,5,71660,47580,24080,-871.23,-934.7,-140468.5,-75351.0,-215819.5,22.5,17.4,50.9
EUR_JPY,1.0,5.0,10,40545,26948,13597,-493.73,-524.37,-79604.9,-42272.1,-121877.0,33.8,30.9,50.8
EUR_JPY,1.0,5.0,30,18170,12211,5959,-210.41,-227.27,-33924.0,-18321.6,-52245.6,53.3,54.9,50.0
EUR_JPY,1.5,1.0,1,305004,203141,101863,-3709.51,-3927.38,-598086.4,-316607.0,-914693.4,1.2,41.5,50.6
EUR_JPY,1.5,1.0,2,210575,140327,70248,-2564.88,-2698.17,-413537.8,-217513.5,-631051.3,1.5,55.2,50.6
EUR_JPY,1.5,1.0,5,128307,85810,42497,-1553.72,-1604.38,-250507.6,-129337.7,-379845.2,1.8,70.5,50.6
EUR_JPY,1.5,1.0,10,88660,59351,29309,-1064.63,-1090.18,-171651.5,-87885.6,-259537.1,2.1,79.0,50.6
EUR_JPY,1.5,1.0,30,50412,33801,16611,-598.41,-615.74,-96481.2,-49638.0,-146119.2,2.4,88.1,50.6
EUR_JPY,1.5,2.0,1,267195,177767,89428,-3258.44,-3469.45,-525359.6,-279690.3,-805049.9,4.1,19.4,50.6
EUR_JPY,1.5,2.0,2,170421,113565,56856,-2078.42,-2209.62,-335105.4,-178128.9,-513234.2,6.4,32.7,50.6
EUR_JPY,1.5,2.0,5,93756,62572,31184,-1140.12,-1188.41,-183821.6,-95803.8,-279625.4,9.4,51.9,50.4
EUR_JPY,1.5,2.0,10,60837,40681,20156,-740.21,-771.62,-119344.7,-62204.4,-181549.1,11.3,64.5,50.7
EUR_JPY,1.5,2.0,30,32024,21459,10565,-376.85,-389.51,-60759.6,-31400.1,-92159.7,14.3,79.5,50.1
EUR_JPY,1.5,3.0,1,254950,169548,85402,-3112.26,-3316.27,-501791.9,-267341.8,-769133.8,8.6,8.7,50.6
EUR_JPY,1.5,3.0,2,155361,103402,51959,-1899.85,-2039.7,-306313.7,-164431.3,-470745.9,16.7,18.2,50.7
EUR_JPY,1.5,3.0,5,79345,52932,26413,-977.91,-1032.01,-157668.4,-83196.0,-240865.4,32.1,36.1,50.6
EUR_JPY,1.5,3.0,10,49012,32674,16338,-591.17,-618.47,-95314.9,-49858.2,-145175.0,45.1,51.1,50.4
EUR_JPY,1.5,3.0,30,24182,16142,8040,-286.92,-293.39,-46260.7,-23651.8,-69914.4,63.1,70.3,50.3
EUR_JPY,1.5,5.0,1,249265,165831,83434,-3044.27,-3242.5,-490829.0,-261394.9,-752223.9,6.5,2.3,50.7
EUR_JPY,1.5,5.0,2,146683,97595,49088,-1798.34,-1936.09,-289947.7,-156078.7,-446027.4,11.6,6.2,50.7
EUR_JPY,1.5,5.0,5,69445,46165,23280,-850.97,-910.89,-137202.1,-73431.9,-210634.0,22.7,17.7,50.6
EUR_JPY,1.5,5.0,10,39919,26574,13345,-489.98,-515.5,-78999.3,-41557.2,-120556.5,34.1,31.2,50.2
EUR_JPY,1.5,5.0,30,18013,12072,5941,-207.6,-217.12,-33471.8,-17502.8,-50974.6,54.2,55.1,50.3
EUR_JPY,2.0,1.0,1,261395,174113,87282,-3198.22,-3384.61,-515651.1,-272851.4,-788502.5,1.4,42.7,50.6
EUR_JPY,2.0,1.0,2,188317,125690,62627,-2305.87,-2427.47,-371776.0,-195691.1,-567467.1,1.7,55.8,50.5
EUR_JPY,2.0,1.0,5,119341,79910,39431,-1454.53,-1501.19,-234514.3,-121018.7,-355533.0,1.9,70.5,50.4
EUR_JPY,2.0,1.0,10,84065,56411,27654,-1012.61,-1044.95,-163263.4,-84239.1,-247502.4,2.4,78.9,50.5
