pair,ws_thr,tp,tc_s5,n,ppd,wr,mdd,calmar,mean_hold_s5,days
AUD_JPY,1.0,10.0,720,1971,-22.05,51.5,8489.2,-0.0,507.8,385.6
AUD_JPY,1.0,10.0,2880,1456,-15.48,69.6,6012.7,-0.0,1357.9,385.6
AUD_JPY,1.0,10.0,17280,905,-8.55,87.6,3248.6,-0.0,3872.4,385.6
AUD_JPY,1.0,20.0,60,2858,-32.08,19.4,12374.8,-0.0,59.7,385.6
AUD_JPY,1.0,20.0,720,1772,-22.35,38.9,8661.6,-0.0,648.9,385.6
AUD_JPY,1.0,20.0,2880,1164,-15.39,52.6,5987.0,-0.0,2054.0,385.6
AUD_JPY,1.0,20.0,17280,612,-6.15,76.8,2544.4,-0.0,6982.3,385.6
AUD_JPY,1.0,30.0,60,2852,-31.93,19.4,12317.1,-0.0,59.9,385.6
AUD_JPY,1.0,30.0,720,1708,-21.01,37.5,8169.0,-0.0,688.8,385.6
AUD_JPY,1.0,30.0,2880,1044,-13.79,45.5,5440.9,-0.0,2430.4,385.6
AUD_JPY,1.0,30.0,17280,488,-7.2,66.6,2929.6,-0.0,9454.9,385.6
AUD_JPY,1.5,5.0,60,743,-8.13,35.8,3133.8,-0.0,47.7,385.6
AUD_JPY,1.5,5.0,720,665,-5.34,74.4,2052.0,-0.0,299.5,385.6
AUD_JPY,1.5,5.0,2880,607,-4.53,86.5,1763.5,-0.0,670.3,385.6
AUD_JPY,1.5,5.0,17280,505,-5.88,92.9,2286.7,-0.0,1925.4,385.6
AUD_JPY,1.5,10.0,60,730,-7.94,26.7,3057.7,-0.0,55.7,385.6
AUD_JPY,1.5,10.0,720,627,-4.52,59.6,1749.6,-0.0,439.3,385.6
AUD_JPY,1.5,10.0,2880,552,-2.58,75.5,1031.4,-0.0,1130.6,385.6
AUD_JPY,1.5,10.0,17280,429,-3.26,88.3,1310.0,-0.0,3398.9,385.6
AUD_JPY,1.5,20.0,60,727,-8.02,24.2,3089.0,-0.0,59.3,385.6
AUD_JPY,1.5,20.0,720,569,-3.59,47.6,1420.3,-0.0,593.1,385.6
AUD_JPY,1.5,20.0,2880,476,-2.98,57.8,1195.2,-0.0,1811.1,385.6
AUD_JPY,1.5,20.0,17280,343,0.0,81.3,714.3,0.0,5926.7,385.6
AUD_JPY,1.5,30.0,60,725,-8.06,24.0,3104.8,-0.0,59.9,385.6
AUD_JPY,1.5,30.0,720,541,-3.16,44.0,1289.2,-0.0,654.4,385.6
AUD_JPY,1.5,30.0,2880,433,-4.89,49.0,1943.9,-0.0,2234.8,385.6
AUD_JPY,1.5,30.0,17280,291,-0.79,70.8,840.3,-0.0,8248.2,385.6
AUD_JPY,2.0,5.0,60,254,-2.99,39.8,1148.0,-0.0,43.5,385.6
AUD_JPY,2.0,5.0,720,238,-1.23,80.7,481.7,-0.0,257.7,385.6
AUD_JPY,2.0,5.0,2880,229,-0.61,90.0,245.4,-0.0,527.6,385.6
AUD_JPY,2.0,5.0,17280,211,-2.07,93.8,830.6,-0.0,1540.7,385.6
AUD_JPY,2.0,10.0,60,252,-3.07,27.8,1184.4,-0.0,52.3,385.6
AUD_JPY,2.0,10.0,720,226,-1.25,66.4,544.4,-0.0,390.4,385.6
AUD_JPY,2.0,10.0,2880,207,-0.28,80.2,338.1,-0.0,975.8,385.6
AUD_JPY,2.0,10.0,17280,181,-2.96,88.4,1239.4,-0.0,3064.1,385.6
AUD_JPY,2.0,20.0,60,251,-3.29,21.1,1266.5,-0.0,58.6,385.6
AUD_JPY,2.0,20.0,720,211,-0.15,56.9,443.0,-0.0,533.1,385.6
AUD_JPY,2.0,20.0,2880,184,-0.13,64.7,425.4,-0.0,1514.7,385.6
AUD_JPY,2.0,20.0,17280,150,-3.08,79.3,1327.1,-0.0,5305.1,385.6
AUD_JPY,2.0,30.0,60,250,-3.32,20.8,1278.4,-0.0,59.8,385.6
AUD_JPY,2.0,30.0,720,200,-0.19,49.5,481.1,-0.0,607.3,385.6
AUD_JPY,2.0,30.0,2880,170,0.42,57.6,422.3,0.0,1908.7,385.6
AUD_JPY,2.0,30.0,17280,134,-3.4,71.6,1632.3,-0.0,7368.7,385.6
