spike,m1_min,peak_mode,peak_frac,tp_K,sl_K,max_hold,n,sum_pips,ppd,wr,tp_pct,sl_pct,time_pct,mean_pnl,mdd,mean_sp_entry
120.0,5.0,0,0.5,3.0,2.0,60,229,-545.8,-1.53,33.2,26.2,50.7,23.1,-2.38,612.6,5.95
120.0,5.0,0,0.5,3.0,2.0,120,229,-503.2,-1.41,32.8,27.5,53.3,19.2,-2.2,596.2,5.95
120.0,5.0,0,0.5,3.0,3.0,12,235,-552.6,-1.55,40.0,23.0,34.0,43.0,-2.35,606.6,6.02
120.0,5.0,0,0.5,3.0,3.0,60,227,-525.6,-1.48,39.2,32.2,41.0,26.9,-2.32,603.3,5.92
120.0,5.0,0,0.5,3.0,3.0,120,227,-471.8,-1.32,39.2,33.9,42.7,23.3,-2.08,570.5,5.92
120.0,5.0,0,0.7,1.0,1.0,12,265,-814.0,-2.29,27.9,26.4,65.3,8.3,-3.07,835.0,5.92
120.0,5.0,0,0.7,1.0,1.0,60,264,-777.1,-2.18,28.8,27.7,67.0,5.3,-2.94,797.4,5.88
120.0,5.0,0,0.7,1.0,1.0,120,264,-769.7,-2.16,29.2,28.0,67.4,4.5,-2.92,791.3,5.88
120.0,5.0,0,0.7,1.0,2.0,12,261,-884.6,-2.48,39.1,34.9,40.6,24.5,-3.39,905.6,5.92
120.0,5.0,0,0.7,1.0,2.0,60,256,-834.8,-2.34,40.6,37.9,45.7,16.4,-3.26,860.9,5.85
120.0,5.0,0,0.7,1.0,2.0,120,256,-833.6,-2.34,40.6,39.1,47.3,13.7,-3.26,860.2,5.85
120.0,5.0,0,0.7,1.0,3.0,12,260,-996.3,-2.8,44.2,39.6,33.5,26.9,-3.83,1017.4,5.92
120.0,5.0,0,0.7,1.0,3.0,60,255,-971.8,-2.73,47.1,44.3,37.3,18.4,-3.81,998.9,5.85
120.0,5.0,0,0.7,1.0,3.0,120,255,-967.4,-2.72,47.5,45.9,38.0,16.1,-3.79,995.0,5.85
120.0,5.0,0,0.7,2.0,1.0,12,264,-701.1,-1.97,24.2,20.1,68.6,11.4,-2.66,715.4,5.93
120.0,5.0,0,0.7,2.0,1.0,60,263,-603.9,-1.7,25.1,22.4,70.3,7.2,-2.3,651.2,5.89
120.0,5.0,0,0.7,2.0,1.0,120,263,-603.4,-1.69,25.5,22.8,70.7,6.5,-2.29,652.0,5.89
120.0,5.0,0,0.7,2.0,2.0,12,258,-726.4,-2.04,35.3,26.0,42.6,31.4,-2.82,752.1,5.92
120.0,5.0,0,0.7,2.0,2.0,60,252,-720.3,-2.02,35.3,29.8,49.6,20.6,-2.86,779.1,5.86
120.0,5.0,0,0.7,2.0,2.0,120,252,-662.5,-1.86,35.7,31.7,51.6,16.7,-2.63,728.8,5.86
120.0,5.0,0,0.7,2.0,3.0,12,257,-789.3,-2.22,40.9,29.2,35.0,35.8,-3.07,820.8,5.92
120.0,5.0,0,0.7,2.0,3.0,60,251,-781.0,-2.19,42.2,36.3,40.2,23.5,-3.11,839.5,5.86
120.0,5.0,0,0.7,2.0,3.0,120,251,-699.1,-1.96,43.0,39.0,41.0,19.9,-2.79,764.9,5.86
120.0,5.0,0,0.7,3.0,1.0,12,261,-670.3,-1.88,21.5,14.6,70.9,14.6,-2.57,687.3,5.95
120.0,5.0,0,0.7,3.0,1.0,60,257,-539.8,-1.52,21.4,17.5,73.9,8.6,-2.1,594.7,5.91
120.0,5.0,0,0.7,3.0,1.0,120,257,-530.7,-1.49,21.8,17.9,74.3,7.8,-2.07,586.8,5.91
120.0,5.0,0,0.7,3.0,2.0,12,256,-601.4,-1.69,33.6,19.9,43.8,36.3,-2.35,662.1,5.92
120.0,5.0,0,0.7,3.0,2.0,60,248,-610.9,-1.72,31.9,24.6,52.4,23.0,-2.46,687.1,5.87
120.0,5.0,0,0.7,3.0,2.0,120,248,-557.8,-1.57,32.3,26.2,54.8,19.0,-2.25,652.3,5.87
120.0,5.0,0,0.7,3.0,3.0,12,255,-652.7,-1.83,38.8,22.4,36.1,41.6,-2.56,709.2,5.93
