pair,ws_thr,tp_pips,hold_min,trades,is_n,oos_n,is_pd,oos_pd,is_net,oos_net,oos_dd,oos_wr,tp_rate,n_long_pct
EUR_JPY,1.5,1.0,2,218144,143931,74213,-2584.25,-2697.98,-416659.4,-217498.5,-634157.9,1.4,59.3,49.4
EUR_JPY,1.5,1.0,5,136622,89751,46871,-1601.51,-1673.61,-258212.3,-134918.7,-393130.9,1.6,74.0,49.5
EUR_JPY,1.5,1.0,10,96368,63126,33242,-1121.39,-1181.53,-180802.3,-95249.3,-276051.6,1.7,81.9,49.4
EUR_JPY,1.5,1.0,30,55798,36736,19062,-662.69,-686.31,-106845.8,-55327.3,-162173.1,2.1,89.8,49.2
EUR_JPY,1.5,2.0,1,268308,178116,90192,-3185.51,-3314.52,-513601.7,-267200.6,-780802.3,4.1,20.9,49.2
EUR_JPY,1.5,2.0,2,172208,114116,58092,-2040.82,-2113.43,-329043.2,-170374.8,-499418.0,6.3,35.0,49.2
EUR_JPY,1.5,2.0,5,96471,63804,32667,-1126.16,-1158.76,-181571.5,-93413.7,-274985.2,9.2,54.8,49.3
EUR_JPY,1.5,2.0,10,63553,41924,21629,-734.83,-756.29,-118476.7,-60968.9,-179445.5,10.8,67.4,49.1
EUR_JPY,1.5,2.0,30,34884,22937,11947,-389.64,-404.92,-62822.1,-32643.1,-95465.2,13.6,82.0,49.7
EUR_JPY,1.5,3.0,1,255151,169593,85558,-3024.09,-3138.18,-487575.4,-252984.9,-740560.2,9.2,9.2,49.3
EUR_JPY,1.5,3.0,2,155807,103446,52361,-1843.75,-1904.17,-297268.5,-153505.2,-450773.7,18.2,19.3,49.3
EUR_JPY,1.5,3.0,5,80412,53204,27208,-939.72,-970.88,-151510.9,-78267.4,-229778.3,34.9,38.3,49.6
EUR_JPY,1.5,3.0,10,50540,33562,16978,-575.28,-597.7,-92752.6,-48183.9,-140936.9,47.8,53.9,49.5
EUR_JPY,1.5,3.0,30,25845,17247,8598,-280.4,-293.96,-45209.5,-23697.6,-68908.2,63.9,73.2,49.1
EUR_JPY,1.5,5.0,1,249096,165727,83369,-2954.01,-3050.28,-476276.3,-245899.0,-722175.3,6.8,2.2,49.3
EUR_JPY,1.5,5.0,2,146666,97517,49149,-1732.25,-1782.38,-279291.0,-143687.4,-422978.4,13.0,6.3,49.3
EUR_JPY,1.5,5.0,5,69679,46281,23398,-809.03,-830.97,-130440.9,-66988.6,-197429.5,24.9,18.6,49.4
EUR_JPY,1.5,5.0,10,40165,26662,13503,-454.62,-471.49,-73299.3,-38009.0,-111309.7,35.9,32.5,48.9
EUR_JPY,1.5,5.0,30,18432,12296,6136,-199.78,-204.16,-32209.9,-16458.6,-48674.0,55.8,56.8,49.0
EUR_JPY,2.0,1.0,1,266071,176243,89828,-3180.15,-3318.27,-512736.9,-267503.3,-780240.2,1.3,47.2,49.4
EUR_JPY,2.0,1.0,2,194995,128930,66065,-2323.46,-2417.99,-374612.6,-194926.7,-569539.4,1.4,60.4,49.4
EUR_JPY,2.0,1.0,5,127371,83913,43458,-1501.27,-1565.83,-242050.0,-126229.9,-368279.8,1.6,74.7,49.4
EUR_JPY,2.0,1.0,10,91872,60369,31503,-1081.19,-1123.45,-174321.0,-90567.6,-264888.6,1.8,82.2,49.6
