split,pair,pct,thr_abs,tp,accel,n,ppd,wr,mdd,calmar,mean_hold,days
OOS_A,GBP_USD,95,0.388,10.0,True,287,-6.23,81.9,1450.7,-0.0,88.7,214.4
OOS_A,GBP_USD,95,0.388,15.0,False,249,-8.24,72.3,1855.8,-0.0,117.8,214.4
OOS_A,GBP_USD,95,0.388,15.0,True,249,-8.24,72.3,1855.8,-0.0,117.8,214.4
OOS_A,GBP_USD,95,0.388,20.0,False,226,-6.35,68.1,1337.4,-0.0,136.6,214.4
OOS_A,GBP_USD,95,0.388,20.0,True,226,-6.35,68.1,1337.4,-0.0,136.6,214.4
OOS_A,GBP_USD,95,0.388,30.0,False,203,-2.1,62.6,926.4,-0.0,165.6,214.4
OOS_A,GBP_USD,95,0.388,30.0,True,203,-2.1,62.6,926.4,-0.0,165.6,214.4
OOS_A,GBP_USD,98,0.543,10.0,False,140,-2.3,82.9,772.7,-0.0,78.4,214.4
OOS_A,GBP_USD,98,0.543,10.0,True,140,-2.3,82.9,772.7,-0.0,78.4,214.4
OOS_A,GBP_USD,98,0.543,15.0,False,133,-2.8,75.9,955.0,-0.0,98.5,214.4
OOS_A,GBP_USD,98,0.543,15.0,True,133,-2.8,75.9,955.0,-0.0,98.5,214.4
OOS_A,GBP_USD,98,0.543,20.0,False,123,-2.66,69.1,879.8,-0.0,124.7,214.4
OOS_A,GBP_USD,98,0.543,20.0,True,123,-2.66,69.1,879.8,-0.0,124.7,214.4
OOS_A,GBP_USD,98,0.543,30.0,False,117,-0.74,65.0,833.8,-0.0,154.3,214.4
OOS_A,GBP_USD,98,0.543,30.0,True,117,-0.74,65.0,833.8,-0.0,154.3,214.4
OOS_B,GBP_USD,90,0.285,10.0,False,365,-8.78,80.3,2151.2,-0.0,99.2,214.4
OOS_B,GBP_USD,90,0.285,10.0,True,365,-8.78,80.3,2151.2,-0.0,99.2,214.4
OOS_B,GBP_USD,90,0.285,15.0,False,311,-7.27,73.3,1671.7,-0.0,126.9,214.4
OOS_B,GBP_USD,90,0.285,15.0,True,311,-7.27,73.3,1671.7,-0.0,126.9,214.4
OOS_B,GBP_USD,90,0.285,20.0,False,289,-2.2,72.0,945.5,-0.0,142.0,214.4
OOS_B,GBP_USD,90,0.285,20.0,True,289,-2.2,72.0,945.5,-0.0,142.0,214.4
