pair,fwd_window,score,n,mean_pips,wr,std_pips
AUD_JPY,4h,5,7059,0.703,52.2,25.6
AUD_JPY,24h,-5,2193,14.605,58.6,70.0
AUD_JPY,24h,-4,139,6.075,44.6,54.5
AUD_JPY,24h,-3,13126,8.436,55.7,66.4
AUD_JPY,24h,-2,782,3.561,53.1,58.8
AUD_JPY,24h,-1,32279,4.215,54.2,67.8
AUD_JPY,24h,0,1321,-1.46,49.3,57.2
AUD_JPY,24h,1,39597,1.996,53.5,66.9
AUD_JPY,24h,2,1030,-6.161,47.5,60.0
AUD_JPY,24h,3,25482,2.255,54.6,65.5
AUD_JPY,24h,4,347,1.074,51.0,58.4
AUD_JPY,24h,5,7059,3.888,55.9,65.5
EUR_USD,1h,-5,2714,0.395,52.0,13.1
EUR_USD,1h,-4,221,-1.14,47.1,10.4
EUR_USD,1h,-3,15862,0.135,50.4,11.8
EUR_USD,1h,-2,991,-0.366,48.4,8.6
EUR_USD,1h,-1,35031,0.019,50.0,11.3
EUR_USD,1h,0,1842,0.277,51.7,7.8
EUR_USD,1h,1,38966,0.082,50.3,10.7
EUR_USD,1h,2,1298,0.426,50.8,8.4
EUR_USD,1h,3,21604,-0.056,48.4,10.4
EUR_USD,1h,4,336,0.219,47.6,9.0
EUR_USD,1h,5,4658,-0.164,46.5,10.1
EUR_USD,4h,-5,2714,1.243,51.8,26.8
EUR_USD,4h,-4,221,-1.591,42.5,21.9
EUR_USD,4h,-3,15862,0.487,51.5,22.5
EUR_USD,4h,-2,991,0.013,49.9,18.0
EUR_USD,4h,-1,35031,0.176,50.8,21.9
EUR_USD,4h,0,1842,-0.203,51.2,18.0
EUR_USD,4h,1,38949,0.295,49.9,21.2
EUR_USD,4h,2,1296,-0.053,50.5,17.4
EUR_USD,4h,3,21589,-0.021,48.9,20.1
EUR_USD,4h,4,336,-0.751,50.0,15.8
EUR_USD,4h,5,4656,-1.075,47.4,19.9
EUR_USD,24h,-5,2714,-1.907,46.2,56.8
EUR_USD,24h,-4,221,-13.405,43.9,50.2
EUR_USD,24h,-3,15862,0.828,48.4,54.0
EUR_USD,24h,-2,991,-4.537,45.3,51.6
EUR_USD,24h,-1,34964,1.982,47.6,54.1
EUR_USD,24h,0,1839,1.128,47.1,47.9
EUR_USD,24h,1,38825,2.424,47.9,52.2
EUR_USD,24h,2,1294,3.378,46.8,46.3
EUR_USD,24h,3,21545,0.189,46.1,48.1
EUR_USD,24h,4,336,-5.858,42.0,40.9
EUR_USD,24h,5,4656,-6.925,42.2,44.3
EUR_GBP,1h,-5,3574,0.424,52.5,4.8
EUR_GBP,1h,-4,677,0.184,53.6,3.5
EUR_GBP,1h,-3,18739,0.209,50.8,5.0
EUR_GBP,1h,-2,2560,0.188,51.3,3.9
EUR_GBP,1h,-1,36757,0.099,49.3,5.2
EUR_GBP,1h,0,3346,0.08,49.1,3.8
EUR_GBP,1h,1,35753,-0.062,47.6,5.4
